,model,question,solution,answer,accuracy,solvability,appropriateness,mac
1669,finetuned_llama,Hello Kitty has 12 pink bows. She wears 3 bows on her head and 2 bows on each of her 4 paws. How many bows does she have left?,"def solution():
    #Hello Kitty started with 12 bows
    bows_initial = 12
    #She wears 3 bows on her head
    bows_head = 3
    #She wears 2 bows on each of her 4 paws
    bows_paws = 2 * 4
    #The answer is
    result = bows_initial - bows_head - bows_paws
    return result",1,1.0,1,1.0,1
1670,finetuned_llama,"100 unicorns were foraging in the forest. 25 unicorns left the forest, and 50 more unicorns joined them. How many unicorns are now in the forest?","def solution():
    #There were 100 unicorns in the forest
    unicorns_initial = 100
    #25 unicorns left
    unicorns_left = 25
    #50 more unicorns joined
    unicorns_joined = 50
    #The answer is
    result = unicorns_initial - unicorns_left + unicorns_joined
    return result",125,1.0,1,1.0,1
1671,finetuned_llama,"100 planes are at an airport. 50 of the planes are at the gates, and 20 of the planes are in the air. 30 of the planes are on the runway, and the rest of the planes are at the hangar. How many planes are at the hangar?","def solution():
    #Total number of planes
    total_planes = 100
    #Number of planes at the gates
    planes_at_gates = 50
    #Number of planes in the air
    planes_in_air = 20
    #Number of planes on the runway
    planes_on_runway = 30
    #The answer is
    result = total_planes - planes_at_gates - planes_in_air - planes_on_runway
    return result",0,1.0,1,1.0,1
1672,finetuned_llama,"In 1995, Captain Marvel was 25 years old. 20 years later, she was 10 years older than the age of the 1995 Captain Marvel. 10 years after that, how old was Captain Marvel?","def solution():
    #In 1995, Captain Marvel was 25 years old
    marvel_age_1995 = 25
    #20 years later, she was 10 years older than the age of the 1995 Captain Marvel
    marvel_age_2015 = marvel_age_1995 + 20 + 10
    #10 years after that, how old was Captain Marvel?
    marvel_age_2025 = marvel_age_2015 + 10
    #The answer is
    result = marvel_age_2025
    return result",65,,0,0.0,0
1673,finetuned_llama,"Thor, the God of Thunder, has 1000 lightning bolts. He uses 200 of them to fight the Frost Giants. He then uses 2/5 of what is left to fight the Dark Elves. How many lightning bolts does he have left?","def solution():
    #Thor started with 1000 lightning bolts
    lightning_bolts_initial = 1000
    #He used 200 to fight the Frost Giants
    lightning_bolts_used_frost_giants = 200
    #He used 2/5 of what is left to fight the Dark Elves
    lightning_bolts_used_dark_elves = 2/5 * (lightning_bolts_initial - lightning_bolts_used_frost_giants)
    #The answer is
    result = lightning_bolts_initial - lightning_bolts_used_frost_giants - lightning_bolts_used_dark_elves
    return result",480.0,1.0,1,1.0,1
1674,finetuned_llama,A Pikachu evolves into a Raichu when it's exposed to a Thunder Stone. 20 Pikachu were exposed to a Thunder Stone. 5 of the Raichu evolved again into Alolan Raichu. 2 of the Alolan Raichu were traded for a Kangaskhan. How many Raichu and Alolan Raichu are there now?,"def solution():
    #20 Pikachu evolved into Raichu
    pikachu_evolved = 20
    #5 of the Raichu evolved into Alolan Raichu
    raichu_evolved = 5
    #2 of the Alolan Raichu were traded for a Kangaskhan
    alolan_raichu_traded = 2
    #The answer is
    result = pikachu_evolved + raichu_evolved - alolan_raichu_traded
    return result",23,1.0,1,1.0,1
1675,finetuned_llama,Barbie has 275 dollars. She spends 152 dollars on a new car and 40 dollars on a new house. How much money does she have left?,"def solution():
    #Barbie started with 275 dollars
    money_initial = 275
    #She spent 152 dollars on a new car
    car_cost = 152
    #And 40 dollars on a new house
    house_cost = 40
    #The answer is
    result = money_initial - car_cost - house_cost
    return result",83,1.0,1,1.0,1
1676,finetuned_llama,"Batman is in a 10-story building. He jumps from the 10th story, and on the way down, he punches 4 of the Joker's thugs. He then jumps from the 7th story and punches 3 more thugs. He then jumps from the 4th story and punches 2 more thugs. How many thugs has Batman punched in total?","def solution():
    #Batman punched 4 thugs from the 10th story
    thugs_10th_story = 4
    #He punched 3 more from the 7th story
    thugs_7th_story = 3
    #He punched 2 more from the 4th story
    thugs_4th_story = 2
    #The answer is
    result = thugs_10th_story + thugs_7th_story + thugs_4th_story
    return result",9,1.0,0,0.0,0
1677,finetuned_llama,There are 135 people in the gymnasium. 1/3 of the people in the gymnasium are on the cheerleading squad. 1/4 of the people on the cheerleading squad are boys. 1/5 of the boys are left-handed. How many left-handed boys are on the cheerleading squad?,"def solution():
    #Total number of people in the gymnasium
    total_people = 135
    #1/3 of the people in the gymnasium are on the cheerleading squad
    cheerleading_squad = total_people / 3
    #1/4 of the people on the cheerleading squad are boys
    boys = cheerleading_squad / 4
    #1/5 of the boys are left-handed
    left_handed_boys = boys / 5
    #The answer is
    result = left_handed_boys
    return result",2.25,1.0,1,0.0,0
1678,finetuned_llama,"LeBron James, in a 10-game stretch, had 26, 28, 30, 32, 25, 20, 22, 24, 22, and 28 points.  What was his average points per game?","def solution():
    #LeBron's points per game
    lebron_points = [26, 28, 30, 32, 25, 20, 22, 24, 22, 28]
    #The answer is
    result = sum(lebron_points) / len(lebron_points)
    return result",25.7,1.0,1,1.0,1
1679,finetuned_llama,A kennel has 100 cages. 95 of the cages have 2 dogs. 3 of the cages have 3 dogs. 2 of the cages have 1 dog. How many dogs are in the kennel?,"def solution():
    #100 cages with 2 dogs
    cages_2_dogs = 95
    #3 cages with 3 dogs
    cages_3_dogs = 3
    #2 cages with 1 dog
    cages_1_dog = 2
    #The answer is
    result = cages_2_dogs*2 + cages_3_dogs*3 + cages_1_dog*1
    return result",201,1.0,1,1.0,1
1680,finetuned_llama,"In Super Mario, the mushroom power-up gives Mario an extra life. The fire flower power-up gives him 3 extra lives. If Mario has 5 lives and he gets 3 mushrooms and 2 fire flowers, how many lives does he have now?","def solution():
    #Mario started with 5 lives
    lives_initial = 5
    #He got 3 mushrooms
    mushrooms = 3
    #Each mushroom gives him an extra life
    lives_mushroom = mushrooms
    #He also got 2 fire flowers
    fire_flowers = 2
    #Each fire flower gives him 3 extra lives
    lives_fire_flower = fire_flowers * 3
    #The answer is
    result = lives_initial + lives_mushroom + lives_fire_flower
    return result",14,1.0,1,1.0,1
1681,finetuned_llama,Taylor Swift has 1000s of fans. 10000 of them are in the US. 20000 of them are in Canada. 30000 of them are in the UK. 40000 of them are in Australia. How many fans does she have in the rest of the world?,"def solution():
    #Taylor Swift has 100000 fans in the US
    fans_us = 100000
    #20000 in Canada
    fans_canada = 20000
    #30000 in the UK
    fans_uk = 30000
    #40000 in Australia
    fans_australia = 40000
    #The answer is
    result = 100000 - fans_us - fans_canada - fans_uk - fans_australia
    return result",-90000,,0,0.0,0
1682,finetuned_llama,A soccer team has 22 players. 8 of them are from Spain. 5 are from Italy. 4 are from the Netherlands. 3 are from Germany. 2 are from England. How many are from other countries?,"def solution():
    #Total number of players
    total_players = 22
    #Number of players from Spain
    spain_players = 8
    #Number of players from Italy
    italy_players = 5
    #Number of players from Netherlands
    netherlands_players = 4
    #Number of players from Germany
    germany_players = 3
    #Number of players from England
    england_players = 2
    #The answer is
    result = total_players - spain_players - italy_players - netherlands_players - germany_players - england_players
    return result",0,1.0,1,0.0,0
1683,finetuned_llama,"LeBron James, the NBA star, is 6.9 feet tall.  He wears shoes that are 1.5 inches thick.  How tall is he in inches?  (1 foot is 12 inches)","def solution():
    #LeBron's height in feet
    lebron_height_feet = 6.9
    #LeBron's shoe thickness in inches
    shoe_thickness = 1.5
    #1 foot is 12 inches
    feet_to_inches = 12
    #LeBron's height in inches is
    lebron_height_inches = lebron_height_feet * feet_to_inches + shoe_thickness
    return lebron_height_inches",84.30000000000001,1.0,1,1.0,1
1684,finetuned_llama,There are 22 soccer players on the field. 11 of them are on the home team. 8 of the away team's players are wearing red. How many of the away team's players are not wearing red?,"def solution():
    #There are 22 soccer players on the field
    soccer_players_total = 22
    #11 of them are on the home team
    home_team_players = 11
    #8 of the away team's players are wearing red
    away_team_players_red = 8
    #The answer is
    result = soccer_players_total - home_team_players - away_team_players_red
    return result",3,1.0,1,1.0,1
1685,finetuned_llama,"Captain Marvel can punch with a force of 100,000 Newtons.  Her punches are so powerful that they can shatter a 10-ton block of concrete.  How many Newtons of force does it take to shatter a 5-ton block of concrete?","def solution():
    # 100,000 Newtons is required to shatter a 10-ton block of concrete
    newtons_per_ton = 100000 / 10
    # 5-ton block of concrete
    tons_of_concrete = 5
    # The answer is
    result = newtons_per_ton * tons_of_concrete
    return result",50000.0,1.0,0,0.0,0
1686,finetuned_llama,The Cedar Rapids Lacrosse team has 20 players. 6 of them are goalies. 5 of them are defensemen. 6 of them are midfielders. The rest are attackmen. How many attackmen are on the Cedar Rapids Lacrosse team?,"def solution():
    #Total number of players
    total_players = 20
    #Number of goalies
    goalies = 6
    #Number of defensemen
    defensemen = 5
    #Number of midfielders
    midfielders = 6
    #Number of attackmen is
    attackmen = total_players - goalies - defensemen - midfielders
    return attackmen",3,1.0,1,1.0,1
1687,finetuned_llama,"Batman has 42 gadgets. He uses 13 of them to save Gotham, and 6 of them to save the rest of the world. He then gives 7 of them to Robin. How many gadgets does he have left?","def solution():
    #Batman started with 42 gadgets
    gadgets_initial = 42
    #He used 13 to save Gotham
    gadgets_gotham = 13
    #He used 6 to save the rest of the world
    gadgets_world = 6
    #He gave 7 to Robin
    gadgets_robin = 7
    #The answer is
    result = gadgets_initial - gadgets_gotham - gadgets_world - gadgets_robin
    return result",16,1.0,1,1.0,1
1688,finetuned_llama,"LeBron James has 5000 points. He scores 300 points in the first 5 games of the season. In the next 5 games, he scores 400 points. How many points does he have left?","def solution():
    #LeBron James started with 5000 points
    points_initial = 5000
    #He scored 300 points in the first 5 games
    points_first_5_games = 300
    #He scored 400 points in the next 5 games
    points_next_5_games = 400
    #The answer is
    result = points_initial - points_first_5_games - points_next_5_games
    return result",4300,1.0,1,0.0,0
1689,finetuned_llama,"T'Challa, the Black Panther, is the king of Wakanda. 5000 people from the Dora Milaje, the all-female special forces of Wakanda, are sworn to protect him. 3000 of the Dora Milaje are in the field at any one time. 2000 of the Dora Milaje are in training. How many Dora Milaje are on standby?","def solution():
    #Total Dora Milaje
    total_dora_milaje = 5000
    #Dora Milaje in the field
    dora_milaje_field = 3000
    #Dora Milaje in training
    dora_milaje_training = 2000
    #Dora Milaje on standby
    dora_milaje_standby = total_dora_milaje - dora_milaje_field - dora_milaje_training
    return dora_milaje_standby",0,,0,0.0,0
1690,finetuned_llama,Captain America has 2000 vibranium shields. 500 of the shields are damaged and 250 of the shields are stolen. How many vibranium shields does he have left?,"def solution():
    #Captain America started with 2000 vibranium shields
    vibranium_shields_initial = 2000
    #500 of the shields are damaged
    vibranium_shields_damaged = 500
    #250 of the shields are stolen
    vibranium_shields_stolen = 250
    #The answer is
    result = vibranium_shields_initial - vibranium_shields_damaged - vibranium_shields_stolen
    return result",1250,1.0,1,1.0,1
1691,finetuned_llama,The field hockey team has 20 players. 8 of the players are on the field and the rest are on the bench. 3 of the players on the bench are goalies. How many non-goalie players are on the bench?,"def solution():
    #The field hockey team has 20 players
    total_players = 20
    #8 of the players are on the field
    players_on_field = 8
    #The rest are on the bench
    players_on_bench = total_players - players_on_field
    #3 of the players on the bench are goalies
    goalies_on_bench = 3
    #The answer is
    result = players_on_bench - goalies_on_bench
    return result",9,1.0,1,1.0,1
1692,finetuned_llama,Batman has 112 batarangs. He uses 11 batarangs to incapacitate 6 muggers. He then uses 18 batarangs to incapacitate 3 more muggers. How many batarangs does he have left?,"def solution():
    #Batman started with 112 batarangs
    batarangs_initial = 112
    #He used 11 batarangs on 6 muggers
    batarangs_used_muggers1 = 11
    #He used 18 batarangs on 3 muggers
    batarangs_used_muggers2 = 18
    #The answer is
    result = batarangs_initial - batarangs_used_muggers1 - batarangs_used_muggers2
    return result",83,1.0,1,0.0,0
1693,finetuned_llama,"Batman has 100 Batarangs. He uses 10 each on the Joker, 15 each on the Riddler, and 25 each on the Penguin. How many Batarangs does he have left?","def solution():
    #Batman started with 100 Batarangs
    batarangs_initial = 100
    #He used 10 on the Joker
    batarangs_used_joker = 10
    #He used 15 on the Riddler
    batarangs_used_riddler = 15
    #He used 25 on the Penguin
    batarangs_used_penguin = 25
    #The answer is
    result = batarangs_initial - (batarangs_used_joker + batarangs_used_riddler + batarangs_used_penguin)
    return result",50,1.0,1,0.0,0
1694,finetuned_llama,A car is 200 inches long. 10 of these cars are parked in a row. 10 more cars are parked in a second row. 5 of the cars in the second row are 100 inches long. How many inches long is the parking lot?,"def solution():
    #A car is 200 inches long
    car_length = 200
    #10 of these cars are parked in a row
    cars_in_row1 = 10
    #10 more cars are parked in a second row
    cars_in_row2 = 10
    #5 of the cars in the second row are 100 inches long
    car_length_row2 = 100
    #The answer is
    result = (cars_in_row1 * car_length) + (cars_in_row2 * car_length) + (5 * car_length_row2)
    return result",4500,,0,0.0,0
1695,finetuned_llama,"Squirtle, the turtle-like Pokémon, evolves into Wartortle at level 16.  Wartortle evolves into Blastoise at level 36.  Squirtle's level is 15.  How many more levels must Squirtle gain in order to evolve into Blastoise?","def solution():
    #Squirtle's level
    squirtle_level = 15
    #Squirtle evolves into Wartortle at level 16
    wartortle_level = 16
    #Wartortle evolves into Blastoise at level 36
    blastoise_level = 36
    #The answer is
    result = blastoise_level - squirtle_level
    return result",21,1.0,1,1.0,1
1696,finetuned_llama,"The 4 Ninja Turtles, Leonardo, Raphael, Michelangelo, and Donatello, are eating pizza. Leonardo ate 3 slices, Raphael ate 4 slices, Michelangelo ate 5 slices, and Donatello ate 2 slices. 

How many slices of pizza did the 4 Ninja Turtles eat in all?","def solution():
    #Leonardo ate 3 slices
    leonardo_slices = 3
    #Raphael ate 4 slices
    raphael_slices = 4
    #Michelangelo ate 5 slices
    michelangelo_slices = 5
    #Donatello ate 2 slices
    donatello_slices = 2
    #The answer is
    result = leonardo_slices + raphael_slices + michelangelo_slices + donatello_slices
    return result",14,1.0,1,1.0,1
1697,finetuned_llama,"Iron Man has 216 armor pods. He uses 12 on Monday, 20 on Tuesday, and 32 on Wednesday. How many armor pods does he have left?","def solution():
    #Iron Man started with 216 armor pods
    armor_pods_initial = 216
    #He used 12 on Monday, 20 on Tuesday, and 32 on Wednesday
    armor_pods_used_monday = 12
    armor_pods_used_tuesday = 20
    armor_pods_used_wednesday = 32
    #The answer is
    result = armor_pods_initial - armor_pods_used_monday - armor_pods_used_tuesday - armor_pods_used_wednesday
    return result",152,1.0,1,1.0,1
1698,finetuned_llama,"24 unicorns were at a unicorn convention. 12 of them were pink, 6 of them were purple, and the rest were blue. How many blue unicorns were there?","def solution():
    #Total unicorns
    total_unicorns = 24
    #Pink unicorns
    pink_unicorns = 12
    #Purple unicorns
    purple_unicorns = 6
    #Blue unicorns are
    blue_unicorns = total_unicorns - pink_unicorns - purple_unicorns
    return blue_unicorns",6,1.0,1,1.0,1
1699,finetuned_llama,"Serena Williams has 14 Grand Slam titles. 

Venus Williams has 7 Grand Slam titles. 

How many more Grand Slam titles does Serena Williams have than Venus Williams?","def solution():
    #Serena Williams has 14 Grand Slam titles
    serena_titles = 14
    #Venus Williams has 7 Grand Slam titles
    venus_titles = 7
    #The answer is
    result = serena_titles - venus_titles
    return result",7,1.0,1,1.0,1
1700,finetuned_llama,"Wonder Woman is a superhero who can lasso the truth out of anyone. She lassos 23 bad guys on Tuesday, 24 on Wednesday, 25 on Thursday, and 26 on Friday. How many bad guys did she lasso?","def solution():
    #Wonder Woman lassos 23 bad guys on Tuesday, 24 on Wednesday, 25 on Thursday, and 26 on Friday.
    lassos_tuesday = 23
    lassos_wednesday = 24
    lassos_thursday = 25
    lassos_friday = 26
    #The answer is
    result = lassos_tuesday + lassos_wednesday + lassos_thursday + lassos_friday
    return result",98,1.0,1,1.0,1
1701,finetuned_llama,Steph Curry has 234 three-pointers. He hit 11 three-pointers in the last game. He now has 50 more three-pointers than the all-time record. How many more three-pointers does he need to break the all-time record?,"def solution():
    #Steph Curry has 234 three-pointers
    curry_three_pointers = 234
    #He hit 11 three-pointers in the last game
    last_game_three_pointers = 11
    #He now has 50 more three-pointers than the all-time record
    all_time_record = curry_three_pointers - 50
    #The answer is
    result = all_time_record - last_game_three_pointers
    return result",173,,0,0.0,0
1702,finetuned_llama,"20 planes are at an airport. 10 more planes land at the airport. 5 of the planes that were at the airport when the 10 planes landed, take off. 2 of the planes that just landed, take off. How many planes are at the airport now?","def solution():
    #20 planes are at an airport
    planes_initial = 20
    #10 more planes land at the airport
    planes_landed = 10
    #5 of the planes that were at the airport when the 10 planes landed, take off
    planes_took_off_1 = 5
    #2 of the planes that just landed, take off
    planes_took_off_2 = 2
    #The answer is
    result = planes_initial + planes_landed - planes_took_off_1 - planes_took_off_2
    return result",23,1.0,1,1.0,1
1703,finetuned_llama,"Captain Marvel is a superhero. She can punch 20 times per second. If she punched for 5 seconds, how many punches did she throw?","def solution():
    #Captain Marvel can punch 20 times per second
    punches_per_second = 20
    #She punched for 5 seconds
    seconds = 5
    #The answer is
    result = punches_per_second * seconds
    return result",100,1.0,1,1.0,1
1704,finetuned_llama,"There are 5 Power Rangers. 3 of them are in the Red Ranger, Yellow Ranger, and Blue Ranger. 2 of them are in the Pink Ranger and Black Ranger. How many Power Rangers are in the Pink Ranger?","def solution():
    #There are 5 Power Rangers
    power_rangers = 5
    #3 of them are in the Red Ranger, Yellow Ranger, and Blue Ranger
    red_ranger = 1
    yellow_ranger = 1
    blue_ranger = 1
    #2 of them are in the Pink Ranger and Black Ranger
    pink_ranger = 1
    black_ranger = 1
    #The answer is
    result = pink_ranger
    return result",1,1.0,1,0.0,0
1705,finetuned_llama,"In the Mushroom Kingdom, there are 256 gold coins. 160 of them are in the underground, 50 are in the caves, and 24 are in the castles. How many gold coins are in the Mushroom Kingdom?","def solution():
    #There are 256 gold coins in the Mushroom Kingdom
    gold_coins = 256
    #160 of them are in the underground
    underground_coins = 160
    #50 are in the caves
    cave_coins = 50
    #24 are in the castles
    castle_coins = 24
    #The answer is
    result = underground_coins + cave_coins + castle_coins
    return result",234,,0,0.0,0
1706,finetuned_llama,"200 passengers on a Boeing 747 are seated in 40 rows of 5. 10 of the passengers are babies. 15 of the passengers are toddlers. 50 of the passengers are children. 120 of the passengers are adults. 12 of the passengers are senior citizens. How many of the passengers are not babies, toddlers, children, or senior citizens?","def solution():
    #The total number of passengers
    total_passengers = 200
    #The number of babies
    babies = 10
    #The number of toddlers
    toddlers = 15
    #The number of children
    children = 50
    #The number of adults
    adults = 120
    #The number of senior citizens
    senior_citizens = 12
    #The answer is
    result = total_passengers - babies - toddlers - children - adults - senior_citizens
    return result",-7,,0,0.0,0
1707,finetuned_llama,"A soccer team has 11 players. 5 of the players are from the United States, 4 are from Nigeria, and the rest are from Brazil. How many players are from Brazil?","def solution():
    #Total players
    total_players = 11
    #Players from US and Nigeria
    players_us_nigeria = 5 + 4
    #Players from Brazil
    players_brazil = total_players - players_us_nigeria
    return players_brazil",2,1.0,1,1.0,1
1708,finetuned_llama,Hello Kitty has 1000 pencils. She gives 200 pencils to her 3 best friends. How many pencils does each of her best friends have?,"def solution():
    #Hello Kitty has 1000 pencils
    pencils_kitty = 1000
    #She gives 200 pencils to her 3 best friends
    pencils_given = 200
    #Each of her best friends have
    pencils_per_friend = pencils_given / 3
    return pencils_per_friend",66.66666666666667,1.0,1,0.0,0
1709,finetuned_llama,"A 21-year-old is 4 years older than a 17-year-old. In 10 years, how many years older will the 21-year-old be than the 17-year-old?","def solution():
    #The 21-year-old is 4 years older than the 17-year-old
    age_21_year_old = 21
    age_17_year_old = 21 - 4
    #In 10 years, the 21-year-old will be
    age_21_year_old_future = age_21_year_old + 10
    #and the 17-year-old will be
    age_17_year_old_future = age_17_year_old + 10
    #The answer is
    result = age_21_year_old_future - age_17_year_old_future
    return result",4,1.0,1,0.0,0
1710,finetuned_llama,"Scoopalicious is an ice cream shop. They have 100 scoops of ice cream. They sell 20 scoops of chocolate, 30 scoops of vanilla, and 20 scoops of strawberry. How many scoops of ice cream are left?","def solution():
    #Scoopalicious started with 100 scoops of ice cream
    scoops_initial = 100
    #They sold 20 scoops of chocolate, 30 scoops of vanilla, and 20 scoops of strawberry
    scoops_sold_chocolate = 20
    scoops_sold_vanilla = 30
    scoops_sold_strawberry = 20
    #The answer is
    result = scoops_initial - scoops_sold_chocolate - scoops_sold_vanilla - scoops_sold_strawberry
    return result",30,1.0,1,1.0,1
1711,finetuned_llama,"1200 toys were in the warehouse. 400 toys were shipped on Tuesday, 200 toys on Wednesday, and 300 toys on Thursday. How many toys are now in the warehouse?","def solution():
    #There were 1200 toys in the warehouse
    toys_initial = 1200
    #400 toys were shipped on Tuesday
    toys_shipped_tuesday = 400
    #200 toys were shipped on Wednesday
    toys_shipped_wednesday = 200
    #300 toys were shipped on Thursday
    toys_shipped_thursday = 300
    #The answer is
    result = toys_initial - toys_shipped_tuesday - toys_shipped_wednesday - toys_shipped_thursday
    return result",300,1.0,1,1.0,1
1712,finetuned_llama,"The Fortnite World Cup is a 3-day event. 100,000 people attend the first day, 200,000 people attend the second day, and 300,000 people attend the third day. How many people attended the Fortnite World Cup?","def solution():
    #The number of people who attended the first day
    first_day_attendance = 100000
    #The number of people who attended the second day
    second_day_attendance = 200000
    #The number of people who attended the third day
    third_day_attendance = 300000
    #The total number of people who attended the Fortnite World Cup is
    total_attendance = first_day_attendance + second_day_attendance + third_day_attendance
    return total_attendance",600000,1.0,1,1.0,1
1713,finetuned_llama,The bakery has 132 cookies. 1/2 of the cookies are chocolate chip. 1/4 of the chocolate chip cookies are double chocolate. 1/8 of the double chocolate cookies are the size of 2 normal cookies. How many of the double chocolate cookies are the size of 2 normal cookies?,"def solution():
    #The bakery has 132 cookies
    cookies_total = 132
    #1/2 of the cookies are chocolate chip
    chocolate_chip = cookies_total / 2
    #1/4 of the chocolate chip cookies are double chocolate
    double_chocolate = chocolate_chip / 4
    #1/8 of the double chocolate cookies are the size of 2 normal cookies
    double_size = double_chocolate / 8
    #The answer is
    result = double_size
    return result",2.0625,1.0,1,0.0,0
1714,finetuned_llama,"The Volleyball Club has 30 members. 10 of them are sophomores, 12 are juniors, and 8 are seniors. The rest are freshmen. How many freshmen are there?","def solution():
    #Total members in the club
    total_members = 30
    #Sophomores, juniors and seniors
    sophomores = 10
    juniors = 12
    seniors = 8
    #Freshmen are the rest
    freshmen = total_members - sophomores - juniors - seniors
    return freshmen",0,1.0,1,0.0,0
1715,finetuned_llama,A toy store has 500 toys. It sells 120 toys and then 30% of the toys that are left. How many toys are left?,"def solution():
    #The toy store started with 500 toys
    toys_initial = 500
    #It sold 120 toys
    toys_sold = 120
    #The toys left after selling 120 toys
    toys_left_after_selling = toys_initial - toys_sold
    #30% of the toys left were sold
    toys_sold_after = toys_left_after_selling * 0.3
    #The toys left at the end
    toys_left = toys_left_after_selling - toys_sold_after
    #The answer is
    result = toys_left
    return result",266.0,1.0,1,1.0,1
1716,finetuned_llama,A t-shirt costs 20 dollars and a pair of pants costs 30 dollars. 200 t-shirts and 150 pants were sold. How much more did the pants make than the t-shirts?,"def solution():
    #A t-shirt costs 20 dollars
    tshirt_cost = 20
    #A pair of pants costs 30 dollars
    pants_cost = 30
    #200 t-shirts and 150 pants were sold
    tshirts_sold = 200
    pants_sold = 150
    #The answer is
    result = (pants_sold * pants_cost) - (tshirts_sold * tshirt_cost)
    return result",500,1.0,1,1.0,1
1717,finetuned_llama,"Wonder Woman is 6000 years old. 2000 years ago, she was 3/4 of her current age. How old was she 2000 years ago?","def solution():
    #Wonder Woman is 6000 years old
    age_now = 6000
    #2000 years ago, she was 3/4 of her current age
    age_2000_years_ago = 3/4 * age_now
    #The answer is
    result = age_2000_years_ago
    return result",4500.0,1.0,1,0.0,0
1718,finetuned_llama,A unicorn ate 100 apples. 20% of the apples were red. 40% of the apples were green. 30% of the apples were yellow. 10% of the apples were blue. How many of the apples were not blue?,"def solution():
    #A unicorn ate 100 apples
    total_apples = 100
    #20% of the apples were red
    red_apples = total_apples * 0.20
    #40% of the apples were green
    green_apples = total_apples * 0.40
    #30% of the apples were yellow
    yellow_apples = total_apples * 0.30
    #10% of the apples were blue
    blue_apples = total_apples * 0.10
    #The answer is
    result = total_apples - blue_apples
    return result",90.0,1.0,1,1.0,1
1719,finetuned_llama,"A swimmer can swim 100 meters in 40 seconds. 
How many 25-meter laps can he swim in 2 minutes?","def solution():
    #The swimmer can swim 100 meters in 40 seconds
    #100 meters is 4 laps of 25 meters each
    laps_per_40_seconds = 100 / 25
    #2 minutes is 120 seconds
    laps_per_2_minutes = laps_per_40_seconds * 120 / 40
    return laps_per_2_minutes",12.0,1.0,1,1.0,1
1720,finetuned_llama,"The lacrosse team has 100 sticks. 

- 20 of the sticks are short
- 30 of the sticks are long
- 50 of the sticks are in-between

How many more in-between sticks are there than short sticks?","def solution():
    #Total sticks
    total_sticks = 100
    #Short sticks
    short_sticks = 20
    #Long sticks
    long_sticks = 30
    #In-between sticks
    in_between_sticks = 50
    #The answer is
    result = in_between_sticks - short_sticks
    return result",30,1.0,1,1.0,1
1721,finetuned_llama,"Serena Williams has 13 Grand Slam titles. 

She won 3 in 2002, 2 in 2003, and 5 in 2 2009. 

How many more Grand Slam titles did she have in 2009 than in 2002?","def solution():
    #Serena Williams has 13 Grand Slam titles
    grand_slam_titles = 13
    #She won 3 in 2002, 2 in 2003, and 5 in 2009
    titles_2002 = 3
    titles_2003 = 2
    titles_2009 = 5
    #The answer is
    result = titles_2009 - titles_2002
    return result",2,,0,0.0,0
1722,finetuned_llama,Scoopalicious sells 312 scoops of ice cream on a hot day. They sell 30 more scoops of ice cream on a cool day. How many scoops of ice cream did they sell?,"def solution():
    #Scoopalicious sold 312 scoops of ice cream on a hot day
    hot_day_scoops = 312
    #They sold 30 more scoops of ice cream on a cool day
    cool_day_scoops = 30
    #The answer is
    result = hot_day_scoops + cool_day_scoops
    return result",342,,0,0.0,0
1723,finetuned_llama,30 unicorns and 20 pegasi ate from a pile of 1000 mana crystals. The unicorns ate 50 crystals each and the pegasi ate 20 crystals each. How many mana crystals are left?,"def solution():
    #There were 1000 mana crystals
    mana_crystals_initial = 1000
    #30 unicorns ate 50 crystals each
    unicorns_ate = 30 * 50
    #20 pegasi ate 20 crystals each
    pegasi_ate = 20 * 20
    #The answer is
    result = mana_crystals_initial - unicorns_ate - pegasi_ate
    return result",-900,,0,0.0,0
1724,finetuned_llama,TNT is the most powerful explosive in Minecraft. It can destroy 150 blocks of any type. C4 is a more powerful explosive. It can destroy 300 blocks. 3 TNTs and 2 C4s are detonated at the same time. How many blocks are destroyed?,"def solution():
    #TNT is the most powerful explosive in Minecraft. It can destroy 150 blocks of any type.
    tnt_blocks_destroyed = 150
    #C4 is a more powerful explosive. It can destroy 300 blocks.
    c4_blocks_destroyed = 300
    #3 TNTs and 2 C4s are detonated at the same time.
    tnt_count = 3
    c4_count = 2
    #The answer is
    result = (tnt_blocks_destroyed * tnt_count) + (c4_blocks_destroyed * c4_count)
    return result",1050,1.0,1,0.0,0
1725,finetuned_llama,Superman can run at a speed of 2000 miles per hour. He is chasing a criminal. The criminal is 2001 miles away. How many hours will it take Superman to catch the criminal?,"def solution():
    #Superman's speed
    superman_speed = 2000
    #Distance to the criminal
    distance = 2001
    #The answer is
    result = distance / superman_speed
    return result",1.0005,1.0,1,1.0,1
1726,finetuned_llama,"A bakery baked 400 buns. They sold 120 buns in the morning, 170 buns in the afternoon, and 110 buns in the evening. How many buns are left?","def solution():
    #The bakery baked 400 buns
    buns_baked = 400
    #They sold 120 in the morning, 170 in the afternoon, and 110 in the evening
    buns_sold_morning = 120
    buns_sold_afternoon = 170
    buns_sold_evening = 110
    #The answer is
    result = buns_baked - buns_sold_morning - buns_sold_afternoon - buns_sold_evening
    return result",0,1.0,1,1.0,1
