,question,solution,answer,accuracy,explanation
388,"Iron Man has defeated 8 villains in his first month of crime-fighting. The next month, he defeats 12 villains. If Iron Man defeats 15% more villains each month, how many villains will Iron Man defeat in his 6th month of crime-fighting?","def solution():
    #Iron Man defeated 8 villains in his first month
    month_1 = 8
    #In his second month, he defeated 12 villains
    month_2 = 12
    #Each month, Iron Man defeats 15% more villains
    monthly_increase = 1.15
    #Iron Man is in his sixth month
    current_month = 6
    #Calculate the number of villains in the sixth month
    villain_count = month_1 + month_2
    for i in range(2, current_month):
        villain_count *= monthly_increase
    return villain_count",34.980124999999994,0.0,"The solution provided is incorrect because it mistakenly starts the count of villains by adding the villains defeated in the first month and the second month, and then incorrectly applies the monthly increase from the third month onwards. Instead, it should calculate the number of villains defeated in each month separately with the increase being applied progressively from the number of villains defeated in the previous month."
389,"There are 3 different types of dinosaurs in a park: T-Rex, Stegosaurus and Triceratops. There are 12 T-Rex, 20 Stegosaurus and 15 Triceratops in the park. If each T-Rex eats 10 pounds of meat per day, each Stegosaurus eats 5 pounds of plants per day and each Triceratops eats 8 pounds of plants per day, how many pounds of food do the dinosaurs need to eat in one day?","def solution():
    #There are 12 T-Rex, 20 Stegosaurus and 15 Triceratops in the park
    trex = 12
    stegosaurus = 20
    triceratops = 15
    #Each T-Rex eats 10 pounds of meat per day
    trex_food = trex * 10
    #Each Stegosaurus eats 5 pounds of plants per day
    stegosaurus_food = stegosaurus * 5
    #Each Triceratops eats 8 pounds of plants per day
    triceratops_food = triceratops * 8
    #The answer is
    result = trex_food + stegosaurus_food + triceratops_food
    return result",340,1.0,"The solution calculates the amount of food consumed by each species by multiplying the number of dinosaurs by the pounds of food each eats per day, and sums these amounts to get the total pounds of food required per day, arriving at the correct answer."
390,"Thor can summon lightning bolts that strike his enemies with 1500 volts of electricity. If he strikes 10 enemies with lightning bolts, how much total voltage did he use?","def solution():
    #Thor can strike enemies with 1500 volts of electricity
    volts_per_strike = 1500
    #Thor strikes 10 enemies
    enemies_struck = 10
    #The answer is
    result = volts_per_strike * enemies_struck
    return result",15000,1.0,The solution correctly determines the total voltage used by multiplying the voltage of each lightning strike by the number of enemies struck. The mathematics of multiplying 1500 volts by 10 enemies gives a correct total of 15000 volts.
391,A soccer team won 13 games out of 18. They want to maintain this winning percentage for the next 10 games. How many games do they need to win out of the next 10 to maintain their winning percentage?,"def solution():
    #The team won 13 games out of 18
    total_games_played = 18
    games_won = 13
    #They want to maintain the same winning percentage for the next 10 games
    total_games_next_10 = 10
    target_winning_percentage = games_won/total_games_played
    #They need to win x out of 10 games to maintain their winning percentage
    target_wins = target_winning_percentage * (total_games_played + total_games_next_10)
    result = target_wins - games_won
    return result",7.222222222222221,1.0,"The solution correctly calculates the team's current winning percentage (13 out of 18 games) and applies it to the total number of games after the next 10 games (28 in total) to find the target number of wins. The solution then determines how many more games the team needs to win (target_wins - games_won) to maintain that percentage. Since it is not possible to win a fraction of a game, the team would need to win 8 more games to at least maintain their winning percentage."
392,The Stegosaurus is 4 meters tall. The Triceratops is 2 meters taller than the Stegosaurus. The Brachiosaurus is 10 meters taller than the Triceratops. How tall is the Brachiosaurus?,"def solution():
    #The Stegosaurus is 4 meters tall
    stegosaurus_height = 4
    #The Triceratops is 2 meters taller than the Stegosaurus
    triceratops_height = stegosaurus_height + 2
    #The Brachiosaurus is 10 meters taller than the Triceratops
    brachiosaurus_height = triceratops_height + 10
    #The Brachiosaurus is
    result = brachiosaurus_height
    return result",16,1.0,"The solution correctly calculates the height of the Brachiosaurus by first determining the height of the Triceratops, which is 2 meters taller than the Stegosaurus (4 meters), making it 6 meters tall. It then correctly adds 10 meters to the height of the Triceratops to calculate the height of the Brachiosaurus, which results in the correct answer, 16 meters."
393,"Hello Kitty is planning a party and needs to make 50 cupcakes for her guests. She has 2 cups of flour, 1 cup of sugar, and 1/2 cup of butter. If each cupcake requires 1/4 cup of flour, 1/4 cup of sugar, and 1/8 cup of butter, will she have enough ingredients to make all 50 cupcakes?","def solution():
  #Hello Kitty needs to make 50 cupcakes
  cupcakes_needed = 50
  #2 cups of flour
  flour_cups = 2
  #1 cup of sugar
  sugar_cups = 1
  #1/2 cup of butter
  butter_cups = 1/2
  #1/4 cup of flour per cupcake
  flour_needed_per_cupcake = 1/4
  #1/4 cup of sugar per cupcake
  sugar_needed_per_cupcake = 1/4
  #1/8 cup of butter per cupcake
  butter_needed_per_cupcake = 1/8
  #Total flour needed
  total_flour_needed = cupcakes_needed * flour_needed_per_cupcake
  #Total sugar needed
  total_sugar_needed = cupcakes_needed * sugar_needed_per_cupcake
  #Total butter needed
  total_butter_needed = cupcakes_needed * butter_needed_per_cupcake
  #Check if Hello Kitty has enough ingredients for each category
  enough_flour = total_flour_needed <= flour_cups
  enough_sugar = total_sugar_needed <= sugar_cups
  enough_butter = total_butter_needed <= butter_cups
  #The answer is
  if enough_flour and enough_sugar and enough_butter:
    return ""Hello Kitty has enough ingredients to make all 50 cupcakes""
  else:
    return ""Hello Kitty does not have enough ingredients to make all 50 cupcakes""
",Hello Kitty does not have enough ingredients to make all 50 cupcakes,1.0,"The solution correctly calculates the amount of each ingredient needed for 50 cupcakes and compares it with what is available. Since Hello Kitty doesn't have enough of all ingredients, the solution correctly concludes that Hello Kitty does not have enough ingredients to make all 50 cupcakes."
394,A bakery had 100 freshly baked cookies. They sold 60 cookies in one day and 25 more on the next day. How many cookies are left in the bakery?,"def solution():
    #Initial number of cookies
    initial_cookies = 100
    #Cookies sold on the first day
    cookies_sold_day_1 = 60
    #Cookies sold on the second day
    cookies_sold_day_2 = 25
    #Total cookies sold
    total_cookies_sold = cookies_sold_day_1 + cookies_sold_day_2
    #Remaining cookies
    remaining_cookies = initial_cookies - total_cookies_sold
    return remaining_cookies",15,,
395,"Captain Marvel can fly at a speed of 500 miles per hour. She needs to travel from New York to Los Angeles, which is a distance of 2,500 miles. How long will it take her to get there?","def solution():
    #Captain Marvel can fly at a speed of 500 miles per hour
    fly_speed = 500
    #Distance from New York to Los Angeles is 2,500 miles
    distance = 2500
    #Time taken to travel the distance is
    time_taken = distance / fly_speed
    return time_taken",5,1.0,"The solution correctly calculates the time taken by dividing the total distance by the fly speed. Since 2500 miles divided by 500 miles per hour equals 5 hours, the answer is accurate."
396,"Iron Man has 8 different suits. Each suit has 5 different features that can be upgraded. If he upgrades 3 features on each suit, how many upgrades does he make in total?",<...>,120,0.0,"The solution incorrectly multiplies the number of suits by the total possible features per suit and the number of upgrades per suit. Instead, it should only multiply the number of suits by the number of upgrades per suit."
397,Superman lifted a 100-ton boulder with his super strength. He then lifted another boulder that was 50% heavier than the first one. How heavy was the second boulder?,"def solution():
    #Superman lifted a 100-ton boulder
    first_boulder_weight = 100
    #Calculating the weight of the second boulder, which is 50% heavier than the first
    second_boulder_weight = first_boulder_weight * 1.5
    #The answer is
    result = second_boulder_weight
    return result",150,1.0,"The solution correctly calculates the second boulder's weight by using the formula for an increase of 50% over the first boulder's weight, which is multiplying the weight of the first boulder by 1.5."
398,"A group of 10 paleontologists discovered 3 different types of dinosaur bones. They found 20 T-Rex bones, 15 Triceratops bones, and 10 Brachiosaurus bones. If each paleontologist takes home one bone of each type, how many bones are left in the discovery site?","def solution():
    #Total paleontologists
    total_paleontologists = 10
    #T-Rex bones found
    t_rex_bones = 20
    #Triceratops bones found
    triceratops_bones = 15
    #Brachiosaurus bones found
    brachiosaurus_bones = 10
    #Each paleontologist took one bone of each type (3 bones total)
    bones_per_paleontologist = 3
    #Bones left in discovery site
    bones_left = (t_rex_bones + triceratops_bones + brachiosaurus_bones) - (bones_per_paleontologist * total_paleontologists)
    return bones_left",15,1.0,"The solution correctly calculates the total number of bones taken by all the paleontologists (3 bones per paleontologist multiplied by 10 paleontologists equals 30 bones taken in total). It then subtracts this total from the sum of all bones found (20 T-Rex bones plus 15 Triceratops bones plus 10 Brachiosaurus bones equals 45 bones in total). 45 bones minus 30 bones taken leaves 15 bones at the discovery site, which matches the number provided in the answer."
399,"In a soccer tournament, the Blue team has scored 12 goals in the first three matches. They scored 2 goals in the fourth match, 3 goals in the fifth match, and 4 goals in the sixth match. How many total goals has the Blue team scored in the tournament so far?","def solution():
    #The Blue team scored 12 goals in the first three matches
    goals_first_three_matches = 12
    #They scored 2 goals in the fourth match, 3 goals in the fifth match, and 4 goals in the sixth match
    goals_remaining_matches = 2 + 3 + 4
    #The total goals scored by the Blue team in the tournament
    total_goals = goals_first_three_matches + goals_remaining_matches
    #The answer is
    result = total_goals
    return result",21,1.0,"The solution provided accurately calculates the total number of goals by adding the 12 goals scored in the first three matches to the additional 2, 3, and 4 goals scored in the fourth, fifth, and sixth matches respectively, summing up to 21."
400,Barbie has 24 dresses in her closet. She decides to give 7 of the dresses to her friends. How many dresses does Barbie have left?,"def solution():
    #Barbie has 24 dresses
    dresses_initial = 24
    #She gives away 7 dresses to her friends
    dresses_given_away = 7
    #The answer is
    result = dresses_initial - dresses_given_away
    return result",17,1.0,The solution correctly subtracts the number of dresses Barbie gives away from her initial number of dresses to calculate the correct number of dresses she has left.
401,Harry Potter has 24 galleons. He spends 8 galleons on a new wand and 10 galleons on a magical potion. How many galleons does he have left?,"def solution():
    #Harry Potter started with 24 galleons
    galleons_initial = 24
    #He spent 8 galleons on a new wand
    wand_cost = 8
    #He spent 10 galleons on a magical potion
    potion_cost = 10
    #The answer is
    result = galleons_initial - wand_cost - potion_cost
    return result",6,1.0,The solution correctly defines the starting amount of galleons and subtracts the amounts spent on a wand and a potion to determine the remaining galleons.
402,"Superman can travel at 10,000 miles per hour. How long will it take him to fly from Metropolis to Gotham if the distance between the two cities is 500 miles?","def solution():
    #Superman can travel at 10,000 miles per hour
    superman_speed = 10000
    #The distance between Metropolis and Gotham is 500 miles
    distance = 500
    #The answer is
    result = distance / superman_speed
    return result",0.05,1.0,"The solution correctly calculates the time it would take for Superman to fly from Metropolis to Gotham by dividing the distance (500 miles) by Superman's speed (10,000 miles per hour), which results in 0.05 hours."
403,"A paleontologist found 3 different types of dinosaur bones. There were 15 Triceratops bones, 20 Stegosaurus bones, and 10 Tyrannosaurus Rex bones. How many dinosaur bones did the paleontologist find in total?","def solution():
    #There were 15 Triceratops bones
    triceratops_bones = 15
    #There were 20 Stegosaurus bones
    stegosaurus_bones = 20
    #There were 10 Tyrannosaurus Rex bones
    tyrannosaurusrex_bones = 10
    #The answer is
    result = triceratops_bones + stegosaurus_bones + tyrannosaurusrex_bones
    return result",45,1.0,The solution correctly adds the number of each type of dinosaur bones together to get the total number of bones found by the paleontologist.
404,Delta Airline's flight to Tokyo takes 12 hours. The plane travels at an average speed of 550 miles per hour. How far is Tokyo from Delta Airline's departure city?,"def solution():
    #The flight takes 12 hours
    time = 12
    #The plane travels at an average speed of 550 miles per hour
    speed = 550
    #The answer is
    distance = time * speed
    return distance",6600,1.0,"The solution correctly multiplies the flight duration in hours by the average speed per hour to calculate the total distance the plane travels, which is the distance from the departure city to Tokyo."
405,Taylor has 80 pieces of candy. She wants to make goodie bags with 10 pieces of candy in each bag. How many bags can she make?,"def solution():
    #Taylor has 80 pieces of candy
    candy_total = 80
    #She wants to make goodie bags with 10 pieces of candy in each bag
    candy_per_bag = 10
    #The number of bags she can make is
    bags = candy_total / candy_per_bag
    return bags",8,1.0,The solution correctly divides the total number of pieces of candy by the number of pieces of candy per bag to arrive at the correct number of bags Taylor can make.
406,"Serena Williams is playing in a tennis tournament. She wins 80% of her matches. If she plays in 10 matches, how many matches will she win?","def solution():
    #Serena Williams wins 80% of her matches
    win_percentage = .8
    #She plays in 10 matches
    total_matches = 10
    #The number of matches she will win is:
    result = round(win_percentage * total_matches)
    return result",8,1.0,"The solution calculates the number of matches Serena Williams will win by multiplying her win percentage (0.8) by the number of matches she plays (10), which results in 8 matches won. The rounding function is appropriately used here, as the question implies we should not have fractional matches won."
407,"In the 2021 NBA Finals, LeBron James scored a total of 168 points across 6 games. If he scored an equal number of points in each game, how many points did he score per game?","def solution():
    #In the 2021 NBA Finals, LeBron scored 168 points
    total_points = 168
    #There were 6 games played in the series
    num_games = 6
    #LeBron scored an equal number of points in each game
    points_per_game = total_points / num_games
    return points_per_game",28,1.0,"The solution correctly calculates the number of points per game by dividing LeBron James's total points by the total number of games, resulting in the correct answer."
408,"In Fortnite, a player starts with 100 health points. Each time they get hit by an opponent, they lose 20 health points. If the player is hit 5 times, how many health points do they have left?","def solution():
    #The player starts with 100 health points.
    health_points_initial = 100
    #Each time the player is hit, they lose 20 health points.
    health_points_lost = 5 * 20
    #The answer is
    result = health_points_initial - health_points_lost
    return result",0,1.0,"The solution accurately calculates the health points lost by the player as 5 hits times 20 health points per hit, which equals 100 health points lost in total. Subtracting this from the initial 100 health points indeed leaves the player with 0 health points."
409,There are 200 cars in a parking lot. 50 of the cars are red and the rest are blue. How many blue cars are in the parking lot?,"def solution():
    #There are 200 cars in the parking lot
    total_cars = 200
    #50 of them are red
    red_cars = 50
    #The rest are blue
    blue_cars = total_cars - red_cars
    #The answer is
    return blue_cars",150,1.0,The solution correctly defines the total number of cars and the number of red cars in the parking lot and subtracts the number of red cars from the total to arrive at the correct number of blue cars.
410,"Patrick Mahomes has thrown for 4000 yards in the NFL season so far. He needs to throw for 1000 more yards to break the single-season passing yardage record. If there are 4 games remaining in the season, how many yards per game does he need to average to break the record?","def solution():
    #Patrick Mahomes has thrown for 4000 yards
    yards_season = 4000
    #He needs to throw for 1000 more yards to break the record
    yards_needed = 1000
    #There are 4 games remaining in the season
    games_remaining = 4
    #He needs to throw for this many yards per game
    yards_per_game_needed = yards_needed / games_remaining
    #He has thrown for this many yards per game so far
    yards_per_game_season = yards_season / (16 - games_remaining)
    #He needs to average this many yards per game to break the record
    result = yards_per_game_needed - yards_per_game_season
    return result",-83.33333333,0.0,The solution incorrectly subtracts Patrick Mahomes' average yards per game in the season so far from the average yards per game needed in the remaining games to break the record. The correct calculation is simply the total yards needed divided by the number of remaining games without any need for subtraction.
411,"There are 15 cats living in a shelter. 1/3 of the cats are black, while 2/5 of the cats are white. What fraction of the cats are neither black nor white?","def solution():
    #There are 15 cats in the shelter
    total_cats = 15
    #1/3 of the cats are black
    black_cats = total_cats * 1/3
    #2/5 of the cats are white
    white_cats = total_cats * 2/5
    #The total number of cats that are either black or white is
    black_or_white_cats = black_cats + white_cats
    #The number of cats that are neither black nor white is
    neither_black_nor_white_cats = total_cats - black_or_white_cats
    #The answer is
    result = neither_black_nor_white_cats/total_cats
    return result",0.26666666666666666,1.0,"The solution correctly calculates the number of black and white cats as a fraction of the total, subtracts this from the total number of cats to find the number of cats that are neither black nor white, and then calculates this as a fraction of the total count of cats."
412,"A train leaves station A traveling at a speed of 50 miles per hour. Another train leaves station B traveling in the same direction at a speed of 70 miles per hour, 2 hours after the first train left. If the distance between the two stations is 400 miles, how long will it take for the second train to catch up to the first train?","def solution():
    #The distance between station A and B is 400 miles
    distance_AB = 400
    #The first train left station A and traveled for t hours before the second train started
    #The second train traveled for (t-2) hours to catch up to the first train
    #Let t be the time it takes for the second train to catch up to the first train
    #The first train traveled a distance of 50t miles
    #The second train traveled a distance of 70(t-2) miles
    #When the second train catches up to the first train, they will have traveled the same distance
    #The equation for this is 50t = 70(t-2) + 400
    #Simplifying the equation gives us t = 8
    return 8",8,0.0,"The solution provided is based on incorrect logic. The correct equation should be 50t + 100 = 70t, solving which we find that 't' equals 5. It takes 5 hours for the second train to catch up to the first train, not 8 hours as suggested by the solution."
413,"Thor, the God of Thunder, has 500 bolts of lightning. He uses 50 bolts per day to power his hammer. How many days can Thor power his hammer with his lightning bolts?","def solution():
    #Thor has 500 bolts of lightning
    bolts_initial = 500
    #He uses 50 bolts per day to power his hammer
    bolts_per_day = 50
    #The answer is
    result = bolts_initial // bolts_per_day
    return result",10,1.0,"The solution correctly divides the initial number of bolts by the number of bolts used per day using integer division to find the whole number of days Thor can power his hammer, matching the given answer."
414,The Mighty Morphin Power Rangers have a total of 30 Megazords. Each Megazord is made up of 5 Zords. How many Zords do they have in total?,"def solution():
    #The Power Rangers have 30 Megazords
    megazords_total = 30
    #Each Megazord is made up of 5 Zords
    zords_per_megazord = 5
    #The answer is
    result = megazords_total * zords_per_megazord
    return result",150,1.0,"The solution correctly defines the total number of Megazords and the number of Zords per Megazord. Multiplying these two numbers gives the total number of Zords, which matches the provided answer."
415,Captain America has 120 shields. He gives 30 shields to Iron Man and 20 shields to Black Widow. How many shields does Captain America have left?,"def solution():
    #Captain America started with 120 shields
    shields_initial = 120
    #He gives 30 shields to Iron Man
    shields_given_ironman = 30
    #He also gives 20 shields to Black Widow
    shields_given_blackwidow = 20
    #The answer is
    result = shields_initial - shields_given_ironman - shields_given_blackwidow
    return result",70,1.0,"The solution correctly subtracts the number of shields given to Iron Man and Black Widow from the initial number of shields Captain America had, resulting in the correct answer."
416,Batman wants to stock up on his supply of batarangs. He needs 50 batarangs for each of his 10 missions. He already has 20 batarangs in his inventory. How many more batarangs does he need?,"def solution():
    #Number of batarangs needed per mission
    batarangs_per_mission = 50
    #Number of missions
    missions = 10
    #Number of batarangs already in inventory
    batarangs_inventory = 20
    #Total number of batarangs needed
    total_batarangs_needed = batarangs_per_mission * missions - batarangs_inventory
    return total_batarangs_needed",480,1.0,"The solution correctly calculates the total number of batarangs Batman needs for all his missions, subtracts the batarangs he already has, and arrives at the correct answer of 480 batarangs."
417,"Black Panther has 1000 vibranium suits in his secret stash. He gives 150 suits to his sister Shuri to study and improve. He then gives 200 suits to his ally, Iron Man, to help in a battle. How many vibranium suits does Black Panther have left in his stash?","def solution():
    #Black Panther has 1000 vibranium suits in his secret stash
    suits_initial = 1000
    #He gives 150 suits to Shuri to study and improve
    suits_shuri = 150
    #He gives 200 suits to Iron Man to help in a battle
    suits_iron_man = 200
    #The answer is
    result = suits_initial - suits_shuri - suits_iron_man
    return result",650,1.0,"The solution correctly calculates the number of vibranium suits left by subtracting the number of suits given to both Shuri and Iron Man from the initial number of suits. The arithmetic is correct, and the answer matches the expected result."
418,"Pikachu is trying to catch all 151 original Pokémon. So far, he has caught 78. How many more does he need to catch to complete his goal?","def solution():
    #Pikachu has caught 78 Pokémon so far
    pokemon_caught = 78
    #There are 151 original Pokémon in total
    pokemon_total = 151
    #Pikachu needs to catch the remaining Pokémon
    pokemon_remaining = pokemon_total - pokemon_caught
    #The answer is
    result = pokemon_remaining
    return result",73,1.0,The solution accurately calculates the number of Pokémon Pikachu still needs to catch by subtracting the number of Pokémon already caught from the total number of original Pokémon.
419,"Super Mario has 50 gold coins. He collects 10 more gold coins in the first level and loses 5 gold coins in the second level. In the third level, he collects 20 more gold coins. How many gold coins does he have now?","def solution():
    #Super Mario started with 50 gold coins
    gold_initial = 50
    #He collected 10 more gold coins in the first level
    gold_collected_first_level = 10
    #He lost 5 gold coins in the second level
    gold_lost_second_level = 5
    #He collected 20 more gold coins in the third level
    gold_collected_third_level = 20
    #The answer is
    result = gold_initial + gold_collected_first_level - gold_lost_second_level + gold_collected_third_level
    return result",75,1.0,"The solution correctly computes the total number of gold coins by starting with the initial number of gold coins and adding or subtracting the number of coins collected or lost in each level, respectively. The final result accurately reflects how many gold coins Super Mario has after the events of the three levels."
420,"A basketball team scored 80 points in their first game, 90 points in their second game, and 75 points in their third game. What was their average score for the three games?","def solution():
    #The team scored 80 points in their first game
    first_game_points = 80
    #They scored 90 points in their second game
    second_game_points = 90
    #They scored 75 points in their third game
    third_game_points = 75
    #Their total score is
    total_points = first_game_points + second_game_points + third_game_points
    #Their average score is
    average_score = total_points / 3
    return average_score",81.66666666666667,1.0,"The solution calculates the average score correctly by summing the points from the three games and then dividing by the number of games, which is 3."
421,"Captain Marvel can travel at a speed of 5000 miles per hour. She flies for 3 hours and travels an additional distance in one hour by changing to her alternate mode of transport, which is riding her motorcycle at 100 miles per hour. How far did she travel in total?",Provided above,15100,1.0,"The solution correctly calculates the distance traveled by both flying and riding the motorcycle, then adds them up to find the total distance traveled."
422,"Iron Man has 10 different suits. He needs to repair 3 of them and upgrade 2 of them. Each repair costs $500, and each upgrade costs $1000. How much will Iron Man spend on repairs and upgrades?","def solution():
    #Iron Man has 10 different suits
    total_suits = 10
    #He needs to repair 3 of them and upgrade 2 of them
    num_repairs = 3
    num_upgrades = 2
    #Each repair costs $500
    cost_per_repair = 500
    #Each upgrade costs $1000
    cost_per_upgrade = 1000
    #The total cost of repairs and upgrades
    total_cost = (num_repairs * cost_per_repair) + (num_upgrades * cost_per_upgrade)
    return total_cost",3500,1.0,"The solution accurately calculates the total cost by multiplying the number of repairs by the cost of each repair, multiplying the number of upgrades by the cost of each upgrade, and then adding these two costs together. So, (3 repairs * $500 per repair) + (2 upgrades * $1000 per upgrade) equals $3500, which matches the provided answer."
423,"Barbie is organizing her dollhouse collection. She has 8 Barbie dolls, 5 Ken dolls, and 2 Skipper dolls. Each Barbie doll costs $12, each Ken doll costs $10, and each Skipper doll costs $8. 

How much money did Barbie spend on her doll collection?","def solution():
    #Barbie has 8 dolls that cost $12 each
    barbies = 8
    barbie_cost = 12
    #Barbie has 5 Ken dolls that cost $10 each
    kens = 5
    ken_cost = 10
    #Barbie has 2 Skipper dolls that cost $8 each
    skippers = 2
    skipper_cost = 8
    #Total cost of Barbie's doll collection
    total_cost = (barbies * barbie_cost) + (kens * ken_cost) + (skippers * skipper_cost)
    return total_cost",162,1.0,The solution accurately calculates the cost for each type of doll by multiplying the number of dolls by their respective costs and then adds those totals together to find the overall cost of Barbie's doll collection.
424,"Captain Marvel flew 100 miles in 2 hours. If she maintains the same speed, how far will she fly in 4 hours?","def solution():
    #Captain Marvel flew 100 miles in 2 hours
    distance = 100
    time = 2
    speed = distance / time
    #She needs to fly for 4 hours
    new_time = 4
    #The distance she flies in 4 hours is
    result = speed * new_time
    return result",200,0.0,"The solution incorrectly calculates the distance Captain Marvel flies in 4 hours. The calculated speed is 50 miles per hour, and if she flies for 4 hours at this speed, she would travel 200 miles per hour multiplied by 4 hours, which is 800 miles, not 200 miles."
425,"A cookie recipe calls for 2 and 1/4 cups of flour to make 24 cookies. If you want to make 60 cookies, how much flour do you need?","def solution():
    #The recipe calls for 2 and 1/4 cups of flour to make 24 cookies
    flour_per_cookie = 2.25/24
    #You want to make 60 cookies
    total_cookies = 60
    #The answer is
    result = flour_per_cookie * total_cookies
    return result",5.625,1.0,The solution accurately computes the amount of flour needed for each cookie and then multiplies this by the desired number of cookies to arrive at the correct total amount of flour required for 60 cookies.
426,"In a basketball game, the Warriors made 20 field goals and 10 free throws. Field goals are worth 2 points and free throws are worth 1 point. How many points did the Warriors score in the game?","def solution():
    #The Warriors made 20 field goals
    field_goals = 20
    #Field goals are worth 2 points
    field_goal_value = 2
    #They made 10 free throws
    free_throws = 10
    #Free throws are worth 1 point
    free_throw_value = 1
    #The answer is
    result = field_goals * field_goal_value + free_throws * free_throw_value
    return result",50,1.0,"The solution accurately multiplies the number of field goals by their point value and the number of free throws by their point value, then sums these products to find the total points scored. This approach gives the correct total of 50 points (20 field goals * 2 points each = 40 points, plus 10 free throws * 1 point each = 10 points, for a grand total of 40 + 10 = 50 points)."
427,"Steph Curry is practicing his basketball shooting. He makes 85% of his shots. If he takes 20 shots, how many shots does he make?","def solution():
 #Steph Curry makes 85% of his shots
 shots_made_percentage = 0.85
 #He takes 20 shots
 total_shots = 20
 #The number of shots he makes is
 shots_made = shots_made_percentage * total_shots
 return shots_made",17,1.0,"The solution calculates the number of shots made by Steph Curry correctly by multiplying the percentage of shots he makes (85%, or 0.85) by the total number of shots taken (20). The result is 17, which matches the answer provided."
428,"Naruto must collect 1000 scrolls to become the Hokage. He has collected 500 scrolls so far. If he collects 150 more scrolls each month, how many months will it take for Naruto to become the Hokage?","def solution():
    #Naruto needs to collect 1000 scrolls
    scrolls_needed = 1000
    #Naruto has collected 500 scrolls so far
    scrolls_collected = 500
    #Naruto collects 150 more scrolls each month
    scrolls_per_month = 150
    #The remaining number of scrolls that Naruto needs to collect
    scrolls_remaining = scrolls_needed - scrolls_collected
    #The answer is
    result = scrolls_remaining / scrolls_per_month
    return result",3.3333333333333335,1.0,"The solution is accurate. It calculates the number of scrolls Naruto still needs to collect and then divides that number by the amount he can collect per month. The answer is a fraction, indicating that partway through the fourth month, he will collect enough scrolls. Fractions of a month are acceptable in this context, as the question does not specify that it must be a whole number of months."
429,Naruto bought 5 cups of ramen for 1000 yen each. He also bought 2 bowls of ramen for 1500 yen each. How much money did Naruto spend in total?,"def solution():
    #Naruto bought 5 cups of ramen for 1000 yen each
    ramen_cups = 5
    ramen_cup_cost = 1000
    #He also bought 2 bowls of ramen for 1500 yen each
    ramen_bowls = 2
    ramen_bowl_cost = 1500
    #The answer is
    result = ramen_cups * ramen_cup_cost + ramen_bowls * ramen_bowl_cost
    return result",8000,1.0,The solution calculates the total expenditure by multiplying the number of cups and bowls of ramen by their respective costs and adding these amounts together to arrive at the correct total expenditure of 8000 yen.
430,Barbie has a collection of 50 dolls. She gave away 20 dolls to her friends. Each friend got 2 dolls. How many friends did Barbie give dolls to?,"def solution():
    #Barbie has 50 dolls
    dolls_initial = 50
    #She gave away 20 dolls to her friends
    dolls_given = 20
    #Each friend got 2 dolls
    dolls_per_friend = 2
    #The number of friends is
    num_friends = dolls_given // dolls_per_friend
    return num_friends",10,1.0,The solution correctly calculates the number of friends Barbie gave dolls to by dividing the number of dolls given (20) by the number of dolls each friend got (2).
431,"Wonder Woman is traveling from New York City to Paris. The distance between the two cities is 3639 miles. If Wonder Woman flies at a speed of 500 miles per hour, how many hours will it take her to get to Paris?","def solution():

    # distance between New York City and Paris
    distance = 3639

    # speed of Wonder Woman's flight
    speed = 500

    # time taken for Wonder Woman to fly to Paris
    time = distance / speed

    return time",7.278,1.0,"The solution correctly calculates the time taken for Wonder Woman to fly to Paris by dividing the distance of 3639 miles by the speed of 500 miles per hour. This results in a time of 7.278 hours, which is an exact calculation without rounding."
432,"In Minecraft, a player needs 3 blocks of wood to craft 1 crafting table and 8 crafting tables to create 1 larger crafting table. If a player has 64 blocks of wood, how many larger crafting tables can they make?","def solution():
    #A player needs 3 blocks of wood to craft 1 crafting table
    wood_needed_for_table = 3
    #And 8 crafting tables to create 1 larger crafting table
    tables_needed_for_larger_table = 8
    #If a player has 64 blocks of wood
    blocks_of_wood = 64
    #The number of crafting tables that can be crafted
    tables_crafted = blocks_of_wood // wood_needed_for_table
    #The number of larger crafting tables that can be created
    larger_tables = tables_crafted // tables_needed_for_larger_table
    #The answer is
    result = larger_tables
    return result",2,0.0,"The original solution incorrectly used division (`/`) instead of floor division (`//`) when calculating the number of regular crafting tables (`tables_crafted`). This could lead to a fractional number of crafting tables, which is not possible in Minecraft. Correcting this by using floor division (`//`) yields the right result of 2 larger crafting tables."
433,"In Harry Potter's potions class, there are 20 students. Professor Snape tells them to brew a potion that requires 2oz of dragon's blood for every 5 students. How many ounces of dragon's blood are needed for the entire class?","def solution():
    #Number of students in the class
    students = 20
    #Dragon's blood required for 5 students
    blood_per_5_students = 2
    #Number of times 5 students are present in the class
    number_of_fives = students // 5
    #Remaining students
    remaining_students = students % 5
    #Dragon's blood required for the entire class
    total_blood = (number_of_fives * blood_per_5_students) + ((remaining_students * blood_per_5_students) / 5)
    return total_blood",8,1.0,"The solution correctly calculates the amount of dragon's blood needed for the entire class. Since there are 20 students and it's stated that for every 5 students, 2oz of dragon's blood is needed, the solution properly calculates that there are four groups of 5 students in the class (20/5) and thus, 4 times the amount of blood per 5 students is required (4*2oz). No remaining students are left, as 20 is a multiple of 5. Therefore, the class needs 8oz in total, and the answer is accurate."
