,question,solvability,explanation
613,"A pizza is cut into 8 slices. 2 of the slices have pepperoni, 3 of the slices have mushrooms, and 1 of the slices has both pepperoni and mushrooms. How many slices of pizza do not have mushrooms or pepperoni?",1.0,"This question can be solved with the information given. There are 8 slices total. We know that 2 slices have pepperoni, but since 1 of those slices also has mushrooms, there is really only 1 slice with just pepperoni. There are 3 slices with mushrooms, but one is already counted as having pepperoni. So, we have 1 slice with just pepperoni, 2 slices with just mushrooms, and 1 with both, totaling 4 slices with toppings. Subtracting from the total gives us 8 - 4 = 4 slices without mushrooms or pepperoni."
614,Batman has 1000 batarangs. He uses 200 batarangs a day. How many batarangs does he have left after 5 days?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The number of batarangs used per day is given, along with the time frame of 5 days, and the initial quantity of batarangs."
615,The 49ers have 11 players on the field. The Rams have 12 players on the field. 2 of the 49ers players are injured. 3 of the Rams players are also injured. How many players are left on the field?,1.0,This question arrives at one correct answer and contains all the information needed to solve it. You subtract the number of injured players from their respective teams and then add the remaining players from both teams to get the total number left on the field.
616,"Captain Marvel is in a spaceship that is 2000 miles long. 
She is 1000 miles from the front of the ship. 
How many miles is she from the back of the ship?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it - the lengths of the spaceship and the distance from the front are given, which allows one to determine the distance from the back."
617,Batman has 2000 Batarangs. 1000 of them are in his utility belt. 500 of them are in the Batcave. 250 of them are in the Batmobile. How many Batarangs does he have left?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By subtracting the sum of Batarangs in the utility belt, Batcave, and Batmobile from the total, we can find out how many Batarangs are left."
618,Batman has 150 batarangs. He has 50 more batarangs than Robin. How many batarangs does Robin have?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By subtracting 50 from Batman's total, we can find out how many batarangs Robin has."
619,A 400-car train is 2.5 miles long. A 200-car train is 1.5 miles long. How many more cars does the longer train have than the shorter train?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The longer train has 400 cars and the shorter train has 200 cars, so the longer train has 400 - 200 = 200 more cars than the shorter train."
620,"Hello Kitty has 1000 pencils. She gives 200 pencils to her 2 best friends, and 100 pencils to each of her 5 other friends. How many pencils does she have left?",1.0,"This question can be solved with the given information. Hello Kitty gives away a total of 200 pencils to each of her 2 best friends (200 * 2 = 400 pencils), and 100 pencils to each of her 5 other friends (100 * 5 = 500 pencils). Adding the pencils given to best friends and other friends results in 400 + 500 = 900 pencils. Subtracting this from the initial 1000 pencils she had (1000 - 900) will give the correct answer of how many pencils she has left, which is 100 pencils."
621,Steph Curry has 1000 3-point shots. He made 500 of them. He missed 200 of them. How many of the shots were neither made nor missed?,0.0,"The question contains conflicting information because if Steph Curry made 500 shots and missed 200, that accounts for 700 shots (500 made + 200 missed = 700). Subtracting this from the total (1000 - 700 = 300) would imply there are 300 shots not accounted for. However, shots can only be either made or missed, so there should not be any shots that were neither made nor missed, indicating an error in the question."
622,A 10-car train is 1200 feet long. A 20-car train is 2400 feet long. How many more feet is the 20-car train than the 10-car train?,1.0,"This question arrives at one correct answer, which is the difference in length between the two trains, and contains all the information needed to solve it."
623,Captain America has 500 vibranium shields. He uses 100 vibranium shields to protect the city. He then uses 200 vibranium shields to protect the people. How many vibranium shields does he have left?,1.0,This question arrives at one correct answer and contains all the information needed to solve it. We can subtract the total number of used shields from the original number to get the answer.
624,"There are 1000 dinosaurs. 
300 of them are T-Rex, 
200 of them are Velociraptors, 
200 of them are Brontosauruses, 
and the rest are Stegosauruses. 
How many Stegosauruses are there?",1.0,"This question provides all the necessary information to find the number of Stegosauruses. By subtracting the sum of T-Rexes, Velociraptors, and Brontosauruses from the total number of dinosaurs, we can determine the number of Stegosauruses."
625,"Wonder Woman can punch 20 times a second. 
She punched for 5 seconds. 
How many punches did she throw?",1.0,"This question is solvable and arrives at one correct answer by multiplying the number of punches per second by the number of seconds she punched, which is 20 punches/second * 5 seconds."
626,Black Panther has 200 vibranium shards. He uses 100 shards to make a new suit. He then uses 50 shards to make a new car. How many shards does he have left?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. It states the initial number of vibranium shards Black Panther has and gives the amounts used in making a suit and a car, allowing one to calculate how many shards are left."
627,"The New England Patriots are a football team. 
They have 300 yards. 
They gained 100 yards in the first quarter, 200 yards in the second quarter, and 300 yards in the third quarter. 
How many yards do they have now?",0.0,"The initial condition stating that the Patriots 'have 300 yards' is ambiguous and can lead to confusion. It does not clearly define whether these are yards gained during the game or another unrelated statistic. Without a clear definition of the initial yards, the problem cannot be solved reliably."
628,A Minecraft player is mining for diamonds. They mine 5 diamonds a day for 30 days. Then they mine 10 diamonds a day for 20 days. How many diamonds do they have?,1.0,This question arrives at one correct answer and contains all the information needed to solve it. The player mines a fixed number of diamonds each day for a given number of days.
629,"Batman has 500 Batarangs. He uses 100 of them to fight the Joker, 200 of them to fight the Riddler, and 100 of them to fight the Penguin. How many Batarangs does he have left?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. Subtracting the number of Batarangs used from the starting total will give the number remaining.
630,"Taylor Swift has 50000000 fans. 10000000 of them are in the US, 1000000 are in the UK, and the rest are in the rest of the world. How many of her fans are in the rest of the world?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. Subtract the US and UK fans from the total number of fans to find the number of fans in the rest of the world.
631,"A candy store has 50000 M&M's. 10000 of them are red, 10000 are green, 10000 are blue, and the rest are yellow. How many M&M's are yellow?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By subtracting the total of red, green, and blue M&Ms from the overall total, we can find out the number of yellow M&Ms."
632,"A basketball team has 12 players. 3 of the players are from the US, 5 of the players are from Germany, and 2 of the players are from Spain. 1 of the players is from the United Kingdom. How many more players are there from the US than from the UK?",1.0,"The question specifically asks for the difference in the number of players from the US compared to the number from the UK. It provides the exact number of players from both countries, which allows for a comparison and one correct answer to the question."
633,"Hello Kitty has 2000 yen. 

She spends 300 yen on a toy and 100 yen on a snack. 

How much yen does she have left?",1.0,"This question has one correct answer, includes the necessary information to solve the problem, and does not result in a negative number after performing the calculations."
634,"100 Fortnite players are in a match. 
25 of them are from the United States. 
15 of them are from Canada. 
10 of them are from the United Kingdom. 
The rest are from other countries. 
How many of them are from other countries?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By adding up the players from the United States, Canada, and the United Kingdom and subtracting from the total, we can find out how many players are from other countries."
635,"Thor, the God of Thunder, has 120 thunderbolts. He uses 20 thunderbolts to defeat the Frost Giants. He then uses 30 thunderbolts to defeat the Dark Elves. How many thunderbolts does he have left?",1.0,"This question is solvable because it provides all necessary data required to calculate the solution. It states the initial number of thunderbolts and the amount used in each event, allowing for a simple subtraction to arrive at the final answer."
636,"100 unicorns are in a field. 25 of them are pink, 30 of them are purple, and the rest are white. How many white unicorns are in the field?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The total number of unicorns is given, and the number of pink and purple unicorns are given; thus, by subtracting the number of pink and purple unicorns from the total, we can find the number of white unicorns."
637,"Iron Man has 1200 repulsor beams. He used 200 of them on the Hulk, 300 of them on the Abomination, and 100 of them on the Mandarin. How many repulsor beams does he have left?",1.0,This question arrives at one correct answer and contains all the information needed to solve it
638,"There are 100 unicorns in a magical forest. 25 of them are pink, 30 of them are blue, and the rest are rainbow. How many unicorns are rainbow?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The total number of unicorns is given, and the number of unicorns for two colors is provided, allowing for a simple subtraction to find out how many are rainbow-colored."
639,"LeBron James has 30,000 career points. He has 1,000 more points than the next highest scorer, Kareem Abdul-Jabbar. How many points does Kareem Abdul-Jabbar have?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By subtracting 1,000 from LeBron James's career points, we can find out Kareem Abdul-Jabbar's career points."
640,Batman has 100 batarangs. 20 of them are in his utility belt. 30 of them are in his cape. 40 of them are in his boots. 10 of them are in his gloves. How many batarangs does he have left?,0.0,"The question asks for the number of batarangs left, but based on the information provided, all 100 batarangs are accounted for (20 in the belt, 30 in the cape, 40 in the boots, and 10 in the gloves). As there are none left unaccounted for, the question may have a misleading phrasing or contain an error in the distribution of the batarangs."
641,"Iron Man has 5000 vibranium-enhanced armor plates. 2000 of the plates are in his vault, 1000 of them are in the Avengers' vault, and the rest are in S.H.I.E.L.D.'s vault. How many plates are in S.H.I.E.L.D.'s vault?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. The total number of plates minus the sum of plates in Iron Man's and the Avengers' vaults gives the number of plates in S.H.I.E.L.D.'s vault.
642,"Barbie has 100 pink heels. 25 of them are 3-inch heels, 50 of them are 4-inch heels, and the rest are 5-inch heels. How many 5-inch heels does Barbie have?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. Barbie has a total of 100 heels, and the question clearly states how many are 3-inch and 4-inch heels. By subtracting the amount of 3-inch and 4-inch heels from the total, we can determine how many 5-inch heels are left."
643,"The cheerleading squad has 200 pom-poms. 100 of the pom-poms are red, 60 of the pom-poms are blue, and the rest are yellow. How many pom-poms are yellow?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The total number of pom-poms and the number of red and blue pom-poms are given, so we can subtract those from the total to find out how many are yellow."
644,"A bakery bakes 1200 cookies. 

They bake 200 more cookies on Monday, 300 more on Tuesday, and 400 more on Wednesday. 

How many cookies do they have now?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. The bakery starts with 1200 cookies and bakes additional cookies on subsequent days. The total can be found by adding the number of cookies baked each day.
645,"A cat has 9 lives. 

A dog has 3 lives.

How many more lives does a cat have than a dog?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. The difference in the number of lives between a cat and a dog can be found by simply subtracting 3 from 9.
646,"A candy store has 1000 lollipops. 200 of them are red, 300 of them are green, and the rest are blue. How many of the lollipops are blue?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. We can find the number of blue lollipops by subtracting the number of red and green lollipops from the total.
647,"Patrick Mahomes, the NFL superstar, has 3000 passing yards this season. He has 1000 more passing yards than last season. How many passing yards did he have last season?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By subtracting the 1000 additional yards from this season's total, we can find out the passing yards for last season."
648,"In the first level of Super Mario, there are 100 coins.  In the second level, there are 200 coins.  In the third level, there are 300 coins.  How many coins are in the first three levels of Super Mario?",1.0,This question arrives at one correct answer and contains all the information needed to solve it by simply adding the number of coins in each level.
649,"The Tampa Bay Buccaneers have 22 players on offense, 26 on defense, and 8 on special teams. 

How many players are on the team?",1.0,"The question is asking for the total number of players on the team, which is a straightforward sum of the players on offense, defense, and special teams. Each of these totals is given, so the question is solvable with one correct answer."
650,"A dog has 4 legs. 
A human has 2 legs. 
How many legs do 10 dogs and 10 humans have?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. You multiply the number of dogs by the number of legs each dog has (10 dogs * 4 legs) and the number of humans by the number of legs each human has (10 humans * 2 legs) and then add the two products together.
651,"A Minecraft world has 10000 blocks. 2000 of the blocks are dirt, 3000 are stone, 2000 are cobblestone, and the rest are ores. How many ores are there?",1.0,"This question arrives at one correct answer and contains all the necessary information to solve it. The total number of blocks and the number of each type of block except for ores are given, allowing students to calculate the remaining blocks by subtracting the sum of the dirt, stone, and cobblestone blocks from the total."
652,200 cats are at the cat cafe. 30 cats are asleep. 60 cats are eating. 20 cats are playing. 10 cats are grooming. How many cats are doing other things?,1.0,This question arrives at one correct answer and contains all the information needed to solve it by adding up the cats engaged in known activities and subtracting from the total.
653,"There are 100 Power Rangers. 30 of them are the Red Ranger, 20 of them are the Blue Ranger, 20 of them are the Yellow Ranger, and the rest are the Green Ranger. How many of them are the Green Ranger?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it by subtracting the sum of Red, Blue, and Yellow Rangers from the total number of Power Rangers to find out how many are the Green Ranger."
654,Black Panther can punch 500 times in a minute. He punched for 20 minutes. How many punches did he throw?,1.0,This question arrives at one correct answer and contains all the information needed to solve it by multiplying the number of punches per minute by the number of minutes.
655,Wonder Woman has 100 lassos. She lassos 20 bad guys a day for 5 days. How many lassos does she have left?,0.0,"The question leads to a misunderstanding as lassos are not consumable items. The phrasing suggests Wonder Woman would be using up lassos as if they were expendable resources. However, just using a lasso does not mean it's gone or unable to be used again. Therefore, the context of the problem does not make sense, and it's not possible to determine a numerical answer based on the information given."
656,"A 25-meter pool is 2.5 times as long as a 10-meter pool. 
How many more meters is the 25-meter pool than the 10-meter pool?",1.0,"The information provided states that a 25-meter pool is 2.5 times as long as a 10-meter pool, and it asks by how many meters the 25-meter pool is longer. Since we know that 2.5 times 10 meters equals 25 meters, this verifies the initial relationship between the two pools, and we can then calculate the difference in length, which is 25 meters - 10 meters = 15 meters. This question arrives at one correct answer and contains all the information needed to solve it."
657,A car lot has 500 cars. 100 of them are in the showroom. 200 of them are on the lot. 150 of them are in the service center. How many of them are in the parking garage?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By subtracting the sum of the cars in the showroom, on the lot, and in the service center from the total number of cars, one can find the number of cars in the parking garage."
658,"Superman can bench press 1,000 pounds. 10 of his friends can bench press 200 pounds each. How many more pounds can Superman bench press than his 10 friends combined?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. Multiply 10 friends by 200 pounds each to get the total bench press weight for his friends and then subtract that from Superman's bench press weight to get the difference.
659,There are 1200 dogs in a city. 200 of them are in the pound. 300 of them are in shelters. 100 of them are on the streets. How many dogs are in homes?,1.0,"This question is solvable because it contains all the required information to arrive at one correct answer. We can subtract the sum of the dogs in the pound, shelters, and on the streets from the total number of dogs to find out how many dogs are in homes."
660,"Serena Williams has 24 Grand Slam titles. 13 of them are in singles, 12 are in women's doubles, and 5 are in mixed doubles. How many more Grand Slam titles does she have in singles than in mixed doubles?",0.0,"The question contains conflicting information regarding the total number of titles Serena Williams has won. The sum of titles in different categories (13 singles, 12 women's doubles, and 5 mixed doubles) equals 30, not 24 as stated in the first sentence. This discrepancy makes the problem unsolvable as presented."
661,"Steph Curry, the NBA star, is 6.2 feet tall. He wears shoes that are 1.5 inches thick. How tall is he in inches? (1 foot is 12 inches)",1.0,"This question can be solved by first converting Steph Curry's height in feet to inches and then adding the thickness of his shoes in inches. The conversion information is provided (1 foot is 12 inches), so all necessary information to solve the problem is given."
662,"A basketball team has 12 players. 3 of the players are 7 feet tall. 5 of the players are 6'8"". 4 of the players are 6'4"". How many of the players are 6'2"" or shorter?",0.0,"The problem lists the heights of 12 players and does not require calculating players with the height of 6'2"" or shorter. Since the height categories mentioned account for all 12 players, there cannot be any players who are 6'2"" or shorter. This could be a trick question, but as it stands, it doesn't require computation. However, if the intention was to sum the players of different heights to ensure they total 12 players, then the question would be solvable. In the current form, it seems to be more of a logical reasoning question rather than a mathematical problem needing calculations."
663,A pizza has 8 slices. 2 of the slices have pepperoni. 3 of the slices have mushrooms. 1 of the slices has both pepperoni and mushrooms. How many slices of pizza do not have toppings?,1.0,"This question arrives at one correct answer: the 2 pepperoni slices plus the 3 mushroom slices total 5, but we've double-counted the slice with both, so there are really 4 unique topped slices. Subtracting from the total of 8 slices gives us 4 slices that do not have toppings."
664,"4 of the Ninja Turtles are eating pizza. 

3 of them are eating tacos. 

2 of them are eating spaghetti. 

1 of them is eating a salad. 

How many Ninja Turtles are there in total?",0.0,"The question does not specify if the Ninja Turtles are eating exclusively one type of food each or if there is any overlap, so we cannot determine the exact number of individual Ninja Turtles from the given information."
665,"Pikachu has 1200 PP. It can use Thunderbolt 100 times, Thunder 50 times, and Volt Tackle 200 times. How many PP does Pikachu have left after using all of its moves?",0.0,"The question does not provide the PP cost for each move (Thunderbolt, Thunder, and Volt Tackle), which is necessary to determine the amount of PP used and how many PP Pikachu has left."
666,"The soccer team has 20 players. 

8 of the players are on the field. 

3 of the players are on the bench. 

2 of the players are injured. 

How many players are in the locker room?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By subtracting the sum of players on the field, on the bench, and injured from the total number of players, we can determine how many players are in the locker room."
667,"LeBron James is 6'9"" tall. 
He's 36 years old. 
He's 20 years older than his son. 
How tall is his son in feet?",0.0,This question does not provide any information on the height of LeBron James's son; it only states LeBron's height and the age difference between LeBron and his son. The question cannot be solved with the given information.
668,LeBron James is 6 feet 9 inches tall. He wears 2-inch heels. How tall is he in inches?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. To solve the problem, convert feet to inches, add the additional inches, and then add the height of the heels."
669,"A pizza is cut into 12 slices. 3 of the slices have pepperoni, 5 of the slices have mushrooms, and 4 of the slices have both pepperoni and mushrooms. How many slices of pizza do not have mushrooms or pepperoni?",0.0,"The question provides inconsistent information regarding the distribution of toppings on the slices. The slices with both toppings should not be counted in the individual counts for pepperoni only or mushrooms only slices. Consequently, the total number of slices with toppings exceeds the total number of slices available, making the problem unsolvable as presented."
670,A Fortnite player has 5000 V-Bucks. They buy 2 outfits for 2000 V-Bucks each. They then buy 5 emotes for 500 V-Bucks each. How many V-Bucks do they have left?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The player starts with 5000 V-Bucks, spends 4000 V-Bucks on outfits (2 x 2000), and spends 2500 V-Bucks on emotes (5 x 500), allowing us to calculate the exact amount of V-Bucks remaining."
671,Pikachu has 1000 candy pieces. He wants to evolve his Pichu into Pikachu using 25 candy pieces. How many candy pieces will Pikachu have left after evolving Pichu?,1.0,"This question is solvable as it contains all the information necessary to solve the problem with one correct answer, and does not lead to an impossible negative answer."
672,Thor has 2000 hammers. Each hammer weighs 5 pounds. He wants to carry them in a cart that can hold 200 pounds. How many carts does Thor need to carry all his hammers?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. First, we calculate the total weight of the hammers by multiplying the number of hammers by the weight of each hammer. Then, we divide the total weight of the hammers by the weight capacity of each cart to find the number of carts needed."
673,Iron Man has 6 suits in his closet. Each suit has 10 different weapons. How many weapons does Iron Man have in total?,1.0,"This question arrives at one correct answer by providing the amount of suits and the number of weapons per suit, which allows for a simple multiplication to solve it."
674,Serena Williams is playing a tennis match. She wins the first set 6-3 and the second set 7-5. How many games did she win in total?,1.0,"This question provides the scores for both sets and the task is to add these scores together to find the total number of games won. It arrives at one correct answer, which is the sum of games won in each set (6 + 7 = 13 games)."
675,"Mia has 5 cats. Each cat has 4 legs. 

How many total legs do Mia's cats have?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The number of cats is given (5), and the number of legs per cat is given (4), so the total number of legs can be calculated by simple multiplication."
676,"Thor, the God of Thunder, has 3 lightning bolts. He threw 1 at Loki and 1 at Hela. How many lightning bolts does he have left?",1.0,"This question arrives at one correct answer, contains all the information needed to solve it, and does not result in a negative number. Thor starts with 3 bolts, uses 1 + 1 = 2, so he has 3 - 2 = 1 bolt left."
677,Wonder Woman has to save the world from a villain who plans on detonating 10 bombs in 5 different cities. Each bomb can only be disarmed with a special tool that Wonder Woman has. The tool requires 2 hours to disarm 1 bomb. How many hours will it take Wonder Woman to disarm all the bombs?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. It states the total number of bombs and the time it takes to disarm one bomb, allowing a student to multiply the two to find the total time required for all bombs."
678,The Golden State Warriors have played 70 games this season. They have won 45 of those games. What percentage of their games have they won?,1.0,This question arrives at one correct answer and contains all the information needed to solve it
679,"A dog shelter has 30 dogs. 10 of the dogs are puppies, 15 of the dogs are adults, and the rest are senior dogs. If each adult dog has a litter of 6 puppies, how many dogs are in the shelter now?",0.0,"The question is ambiguous because it's not clear whether the litters of puppies are already included in the total count of 30 dogs or if they are additional. Additionally, it is not explicitly stated when the litters of puppies were born; they could already be counted among the 10 puppies or they could be new puppies that have to be added to the total."
680,"Wonder Woman can fly at a speed of 700 miles per hour. She needs to fly from New York City to Los Angeles, which is 2475 miles away. How long will it take her to make the trip?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The distance to be covered and the speed at which Wonder Woman can fly are both given, which is sufficient to calculate the time it will take for her journey."
681,"The Power Rangers have 6 members in their team. Each Ranger has a different color assigned to them. Red Ranger has 20% more fans than Blue Ranger. Pink Ranger has 15% less fans than Red Ranger. How many fans does Pink Ranger have if Blue Ranger has 10,000 fans?",1.0,"The problem contains all the necessary information to solve it and arrives at one correct answer. The Blue Ranger has 10,000 fans. The Red Ranger has 20% more fans, which is 10,000 fans + (20% of 10,000 fans) = 12,000 fans. The Pink Ranger has 15% less fans than the Red Ranger, which is 12,000 fans - (15% of 12,000 fans). Calculating this results in a positive number of fans for the Pink Ranger."
682,"Steph Curry made 402 3-pointers in the 2015-2016 NBA season. If he attempted 886 3-pointers that season, what was his 3-point shooting percentage?",1.0,"This question arrives at one correct answer and contains all the necessary information. To find the 3-point shooting percentage, divide the number of 3-pointers made by the number of 3-pointers attempted, and then multiply by 100 to get the percentage."
683,"LeBron James scored an average of 25 points per game in the last 10 games. If he needs to average 30 points per game in the next 5 games to maintain his average of 28 points per game for the season, how many points does he need to score in the next 5 games?",1.0,"The question is solvable because it provides the number of games played and the average points per game that LeBron James needs to maintain. From this information, the total number of points he needs for the season can be calculated, as well as the number of points he has already scored in the last 10 games. Using this data, the number of points he needs to score in the next 5 games to maintain the average can be determined."
684,"The ACME soccer team has played 10 games this season. They won 6, lost 2, and tied 2. If a win is worth 3 points, a loss is worth 0 points, and a tie is worth 1 point, how many points does the ACME team have?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. Wins are worth 3 points each, losses are worth 0 points, and ties are worth 1 point each. The point totals can be calculated and added together based on the provided win, loss, and tie counts."
685,"In Wakanda, the Black Panther needs to cross a river that is 25 meters wide. He can jump 5 meters forward in one jump. How many jumps does he need to make to cross the river?",1.0,"This question arrives at one correct answer, which is 5 jumps, and contains all the information needed to solve it."
686,Barbie has 1000 outfits in her closet. She needs to pack for a 5-day trip and wants to bring a different outfit each day. How many outfits will she have left in her closet after the trip?,1.0,This question arrives at one correct answer and contains all the information needed to solve it. We know the total number of outfits and the number of outfits Barbie will use for the trip.
687,Naruto has 500 shurikens in his arsenal. He uses 50 shurikens to defeat each enemy. How many enemies can he defeat with all the shurikens he has?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. It clearly states the total quantity of shurikens and the amount used per enemy, allowing students to calculate the number of enemies that can be defeated."
688,"There are 30 unicorns in a magical forest. 10 more unicorns come to join them. Each unicorn has a rainbow-colored horn that is 15 inches long. If the unicorns decide to tie their horns together to form a circle, what is the total length of the horn circle in feet?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. Total unicorns = 30 + 10, the horn length of each unicorn is given, and the conversion from inches to feet is a standard measurement conversion that can be applied to reach the answer."
689,"In a Pokémon battle, Pikachu has a 60% chance of winning each round. If Pikachu and Ash battle for 5 rounds, what is the probability that Pikachu wins all 5 rounds?",1.0,"The question is solvable as it provides the probability of Pikachu winning a single round, and it asks for the probability of a sequence of independent events (each round won by Pikachu), which can be calculated by multiplying the probability of winning each round together."
690,"Iron Man's suit uses 3% of its power per minute when in full flight mode. If his suit has a 10-hour battery life, how long can he fly in full flight mode before his suit runs out of power?",1.0,"The question is solvable. It states that the suit uses 3% of power per minute and has a 10-hour battery life. Since there are 60 minutes in an hour, 10 hours total 600 minutes. If the suit uses 3% per minute, it will run out of power in 100/3 minutes. The student can divide 100 by 3 to find out the number of minutes the suit can be in full flight mode."
691,"Iron Man needs to fly from New York to Los Angeles, a distance of 2,500 miles. His suit can fly at a speed of 700 miles per hour. How long will it take him to fly from New York to Los Angeles?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. It provides the total distance to be covered and the constant speed of the suit, which allows the computation of time taken using the formula time = distance/speed."
692,"Spiderman swung from his web 10 times. He swung 5 times over the city and 5 times over the park. Each time he swung over the city, he traveled 2 miles. Each time he swung over the park, he traveled 1.5 miles. How many miles did Spiderman travel in total?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By multiplying the number of times Spiderman swung over each location by the distance traveled per swing, the total distance can be calculated."
693,"Thor, the God of Thunder, is creating a lightning bolt that is 500 feet long. He wants to divide the lightning bolt into pieces that are 5 feet long. How many pieces will he end up with?",1.0,This question arrives at one correct answer and contains all the necessary information needed to solve it. The total length of the lightning bolt and the length of each piece are provided.
694,"A swim team has a total of 40 swimmers. On Monday, 15 swimmers attended practice, and on Tuesday, 18 swimmers attended practice. How many more swimmers need to attend practice this week for the team to have 80% attendance throughout the week?",0.0,"The question doesn't specify if the same swimmers attended on Monday and Tuesday, or if they were different swimmers each day, which is necessary to calculate the percentage of unique individuals who have attended. If the swimmers who attended on Monday also attended on Tuesday, the total is 18 distinct swimmers, but if none of the swimmers who attended on Monday attended on Tuesday, the total would be 15+18=33 distinct swimmers. Without this information, it's not possible to determine how many more swimmers are needed for 80% attendance."
695,Superman can lift 500 pounds. He lifts 3 times his capacity in the morning and 4 times his capacity in the afternoon. How much weight does he lift in a day?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. Superman's lifting capacity is defined, and the multipliers for the morning and afternoon are clear."
696,Captain America has 40 shield throws for his next mission. He needs to divide the throws equally between himself and his two teammates. How many throws will each person get?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. Captain America and his two teammates are a total of three people. The solution involves dividing the total number of throws, 40, by 3 to get the number of throws per person."
697,"Iron Man has defeated 8 villains in his first month of crime-fighting. The next month, he defeats 12 villains. If Iron Man defeats 15% more villains each month, how many villains will Iron Man defeat in his 6th month of crime-fighting?",0.0,"The question is ambiguous because the percentage increase could be interpreted as applying to the first month's count, the second month's count, or to each subsequent month relative to the previous one. Moreover, the percentage increase doesn't align neatly with either 8 or 12, which were the number of villains defeated in the first and the second month, suggesting potentially a sequential increase. It lacks clear instructions on how to apply the 15% increase, making it impossible to discern a definitive answer."
698,Black Panther has 20 claws on his suit. He loses 3 claws in a battle. How many claws does he have left?,1.0,This question arrives at one correct answer and contains all the information needed to solve it. Subtracting the claws lost from the total amount of claws gives a positive result.
699,"Batman has 20 batarangs in his utility belt. He uses 5 of them to fight off a group of thugs. Then, he gives 2 batarangs to Robin. How many batarangs does Batman have left in his utility belt?",1.0,"This question is solvable. It has one correct answer. Batman starts with 20 batarangs, uses 5, and then gives away 2. All necessary information to solve the problem is present and a solution does not result in a negative number."
700,"A soccer team has played 20 games. They won 10 games, lost 5 games, and tied the rest of them. If a win is worth 3 points, a tie is worth 1 point, and a loss is worth 0 points, what is the total number of points the team has earned so far?",1.0,The question arrives at one correct answer and contains all the information needed to solve it. The number of ties can be determined by subtracting the number of wins and losses from the total number of games.
701,"There are 3 different types of dinosaurs in a park: T-Rex, Stegosaurus and Triceratops. There are 12 T-Rex, 20 Stegosaurus and 15 Triceratops in the park. If each T-Rex eats 10 pounds of meat per day, each Stegosaurus eats 5 pounds of plants per day and each Triceratops eats 8 pounds of plants per day, how many pounds of food do the dinosaurs need to eat in one day?",1.0,This question is solvable as it provides all the necessary information to work out the total amount of food required by each type of dinosaur and then sum those amounts to find the total pounds of food needed in one day.
702,"Thor can summon lightning bolts that strike his enemies with 1500 volts of electricity. If he strikes 10 enemies with lightning bolts, how much total voltage did he use?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. The total voltage is found by multiplying the voltage of one lightning strike by the number of enemies struck.
703,Captain America has to cross a bridge that is 100 feet long. He can jump 20 feet at a time. How many jumps does he have to make to cross the bridge?,1.0,"This question is solvable and arrives at one correct answer. Captain America needs to make a series of 20-foot jumps to cover the 100 feet distance of the bridge. By dividing 100 by 20, the number of jumps needed is 5, which is the correct and sole answer."
704,"A field hockey team played 12 games this season. They won 5 games, lost 4 games, and tied the remaining games. If a win is worth 3 points, a loss is worth 0 points, and a tie is worth 1 point, how many points did the team earn this season?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The total number of games played, the number of wins, losses, and the points for each result are given, enabling the calculation of the total points earned."
