,question_number,question,grade,answer,math_topic
1068,question_1068,"Derek is picking flowers in the garden. He picked 18 flowers from the first bush, 22 flowers from the second bush, 26 flowers from the third bush, 30 flowers from the fourth bush, and 34 flowers from the fifth bush. If this pattern continues, how many flowers will Derek pick from the sixth bush?",5,38 (flowers),Sequential-Operation
1069,question_1069,"Last year, Springtown Hardware ordered 3 hammers in June, 4 hammers in July, 6 hammers in August, and 9 hammers in September. If this pattern continues, how many hammers will the store order in October?",5,13 (hammers),Sequential-Operation
1070,question_1070,"The teacher gave 29 gold stickers to the first student, 35 gold stickers to the second student, 41 gold stickers to the third student, 47 gold stickers to the fourth student, and 53 gold stickers to the fifth student. If this pattern continues, how many gold stickers will the teacher give to the sixth student?",5,59 (gold stickers),Sequential-Operation
1071,question_1071,"Jared owns a hardware store and is looking over his past orders. Jared's hardware store ordered 5 power drills in January, 6 power drills in February, 8 power drills in March, and 11 power drills in April. If this pattern continues, how many power drills will the store order in May?",5,15 (power drills),Sequential-Operation
1072,question_1072,"Karlene read 3 pages on Tuesday, 6 pages on Wednesday, 12 pages on Thursday, 24 pages on Friday, and 48 pages on Saturday. If this pattern continues, how many pages will Karlene read on Sunday?",5,96 (pages),Sequential-Operation
1073,question_1073,"The teacher's helper was putting cookies onto plates. He put 5 cookies on the first plate, 7 cookies on the second plate, 10 cookies on the third plate, 14 cookies on the fourth plate, and 19 cookies on the fifth plate. If this pattern continues, how many cookies will the helper put on the sixth plate?",5,25 (cookies),Sequential-Operation
1074,question_1074,"The flower shop displays a different number of roses in the front window every month. It displayed 108 roses in October, 120 roses in November, 132 roses in December, and 144 roses in January. If this pattern continues, how many roses will the flower shop window display in February?",5,156 (roses),Sequential-Operation
1075,question_1075,"A baker is putting cupcakes on trays to cool. She put 3 cupcakes on the first tray, 6 cupcakes on the second tray, 12 cupcakes on the third tray, and 24 cupcakes on the fourth tray. If this pattern continues, how many cupcakes will the baker put on the fifth tray?",5,48 (cupcakes),Sequential-Operation
1076,question_1076,"On a modern art painting, there are 3 green dots in the first row, 6 green dots in the second row, 9 green dots in the third row, and 12 green dots in the fourth row. If this pattern continues, how many green dots will there be in the fifth row?",5,15 (green dots),Sequential-Operation
1077,question_1077,"Steve is stacking cups; he put 17 plastic cups in the first stack, 21 plastic cups in the second stack, 25 plastic cups in the third stack, and 29 plastic cups in the fourth stack. If this pattern continues, how many plastic cups will Steve put in the fifth stack?",5,33 (plastic cups),Sequential-Operation
1078,question_1078,"While counting chairs in the lunch room, Marie noticed that there were 14 chairs in the first row, 23 chairs in the second row, 32 chairs in the third row, 41 chairs in the fourth row, and 50 chairs in the fifth row. If this pattern continues, how many chairs will there be in the sixth row?",5,50 (chairs),Sequential-Operation
1079,question_1079,"A new cookbook is becoming popular. The local bookstore ordered 4 copies in September, 6 copies in October, 8 copies in November, and 10 copies in December. If this pattern continues, how many copies will the bookstore order in January?",5,12 (copies),Sequential-Operation
1080,question_1080,"Farmer Singleton has a plot of tomato plants. There are 4 tomato plants in the first row, 8 tomato plants in the second row, 16 tomato plants in the third row, 32 tomato plants in the fourth row, and 64 tomato plants in the fifth row. If this pattern continues, how many tomato plants will there be in the sixth row?",5,128 (tomato plants),Sequential-Operation
1081,question_1081,There are 22 bicycles and 3 cars in the garage at Gordon's apartment building. How many wheels are there in the garage?,5,56 (wheels),Addition
1082,question_1082,There are 16 bicycles and 7 tricycles in the storage area at Braden's apartment building. Each bicycle has 2 wheels and each tricycle has 3 wheels. How many wheels are there in all?,5,53 (wheels),Addition
1083,question_1083,Miki bought 4 packs of red bouncy balls and 3 packs of yellow bouncy balls. Each package contained 7 bouncy balls. How many more packs of red bouncy balls than yellow bouncy balls did Miki buy?,5,1 (packs),Difference
1084,question_1084,"3 tons of mulch cost $15,000.00. What is the price per pound?",6,2.5 (dollars),Common-Division
1085,question_1085,Kira has $1.20 in quarters and dimes. She has minimized coins altogether. How many coins does she have?,6,6 (coins),Addition
1086,question_1086,"Willy has 5,092 crayons. Lucy has 3,971 crayons. How many more crayons does Willy have than Lucy?",5,1121 (crayons),Difference
1087,question_1087,"You have $12 in nickels and quarters. If you have the same number of each kind of coin, how many nickels do you have?",5,40 (nickels),Common-Division
1088,question_1088,"A worker at a medical lab is studying blood samples. The first sample contained 1,410 blood cells. The second one contained 6,908 more than the first. About how many blood cells were in the second sample?",4,8318 (blood cells),Addition
1089,question_1089,"During summer break, 564,237 kids from Lawrence County go to camp, and the other 495,718 kids stay home. About how many kids are in Lawrence County?",4,1059955 (kids),Addition
1090,question_1090,"There is a snail problem in Centerville. People work together to get rid 3,482 snails, but 8,278 of them remain. About how many snails were originally in Centerville?",4,11760 (snails),Addition
1091,question_1091,"Recently, the postal service sold stamps with famous people pictured on them. They sold 578,833 color stamps, as well as 523,776 black-and-white ones. About how many stamps did they sell?",4,1102609 (stamps),Addition
1092,question_1092,"Ann has $777 and Bill has $1,111. How much does Bill need to give to Ann, so that they would have the same amount of money?",4,167 (dollars),Common-Division
1093,question_1093,Tony made 14 L of lemonade for a party. His guests drank 9500 mL of the lemonade. How many milliliters of lemonade did Tony have left over?,6,4500 (milliliters of lemonade),Subtraction
1094,question_1094,Susan started her homework at 1:59 p.m. and finished her homework 96 minutes later. Susan had volleyball practice at 4:00 p.m. How much time did Susan have between finishing her homework and the beginning of volleyball practice?,6,25 (minutes),Subtraction
1095,question_1095,Thomas made 8700 mL of tomato soup. He packed 1.6 L of the soup in his kids' lunches. He then froze half of the remaining soup. How many milliliters of soup did Thomas freeze?,6,3550 (milliliters of soup),Common-Division
1096,question_1096,"Issa jogged two-thirds of the way home from school. Then he was tired, so he walked the remaining 3200 m. How many kilometers did Issa travel from school to his house?",6,9.6 (kilometers),Multiplication
1097,question_1097,A bee flew 840 cm and landed on a flower to collect some pollen. Then the bee flew another 330 cm to get back to her hive. How many meters did the bee travel?,6,11.7 (meters),Addition
1098,question_1098,"A Girl Scout camp served half of their granola with breakfast. After dinner, they put the remaining 6250 g of granola on top of their yogurt dessert. How many kilograms of granola did the Girl Scout camp start with?",6,12.5 (kilograms of granola),Multiplication
1099,question_1099,Payton leaves to go on an 85 minute bike ride at 3:27 p.m. Payton's family eats dinner at 5:45 p.m. How much time will Payton have between finishing her bike ride and eating dinner?,6,53 (minutes),Subtraction
1100,question_1100,"James has 14,500 g of sand in his sandbox. He brings home another 7,400 g of sand from the beach to add to his sandbox. How many kilograms of sand does James have in his sandbox now?",6,21.9 (kilograms of sand),Addition
1101,question_1101,"On Martin's first stroke, his golf ball traveled 4/5 of the distance to the hole. On his second stroke, the ball went into the hole. Martin was standing 79 meters from the hole as he took his second stroke. How many kilometers from the hole was Martin when he started?",6,0.395 (kilometers),Multiplication
1102,question_1102,"It is 4:12 p.m. Emma's mom will be home from work in 70 minutes, and Emma has gymnastics lessons at 6:00 p.m. How much time will Emma have between the time that her mom gets home from work and the beginning of gymnastics lessons?",6,38 (minutes),Subtraction
1103,question_1103,Cora sliced 18 kg of green apples for a party. She divided the apple slices equally between 5 large bowls. How many grams of apple slices did Cora put in each bowl?,6,3600 (grams of apple),Common-Division
1104,question_1104,"Wes mixed different juices to make fruit punch. He filled one-half of the punch bowl with orange juice. Then he filled half of the remaining space with grape juice. Finally, he filled the rest of the punch bowl with 300 mL of cherry juice. How many liters of fruit punch did Wes make?",6,1.2 (liters of fruit punch),Sum
1105,question_1105,Gina mixed paint to make her favorite shade of purple. She filled up one third of the container with red paint. Then she filled the remaining space with 4 L of blue paint. How many milliliters of paint did Gina mix?,6,6000 (milliliters of paint),Multiplication
1106,question_1106,"A restaurant charges 4% service charge. If your order amounted to 450, how much did you pay?",5,468 (dollars),Addition
1107,question_1107,Rose bought a blouse at a discount of 18% for 147.60. What was the marked price of the blouse?,5,180 (dollars),Common-Division
1108,question_1108,"Mila's father has 2 jobs. 1st job pays $375 more than the 2nd job. How much does he get from the 1st job if he gets per week a total of $3,875?",5,2125 (dollars),Addition
1109,question_1109,Luz and Raya talked for one hour and 21 minutes on the phone. They ended talking at 1:06 a.m. What time did they start talking with each other?,6,11:45 p.m.,Subtraction
1110,question_1110,Time in the Philippines is one hour ahead of the time in Japan. Luz who is in Manila called up her friend who is in Japan at 12:55 am on 25 December 2014. What day and time was it in Japan?,6,11:55 p.m. on 24 December 2014.,Subtraction
1111,question_1111,The ratio of the number correct answers to incorrect answers on Sam's math test is 7:3. The difference between correct and incorrect answers is 20. What was the total number of questions on the test?,6,50 (questions),Ratio
1112,question_1112,The ratio of the weight of Meg's cat to the weight of Anne's cat is 5:7. Meg's cat weighs 20 kg. How much more does Anne's cat weigh?,6,8 (kg),Difference
1113,question_1113,The ratio of boys to girls at the basketball game is 8:5. There are 30 girls. How many more boys are there than girls?,6,18 (boys),Difference
1114,question_1114,"Craig and Brian looked for seashells. For every 9 seashells Craig found, Brian found 7. Craig found 54 seashells. How many fewer seashells did Brian find than Craig?",6,12 (seashells),Difference
1115,question_1115,A recipe for fruit punch says to use 8 ounces of orange juice for every 3 ounces of grape juice. Nicky used 72 ounces of orange juice. How many fewer ounces of grape juice were used?,6,45 (ounces of grape juice),Difference
1116,question_1116,"For every 3 sit-ups Peter does, Greg does 4. Peter did 24 sit-ups. How many sit-ups did Greg do?",6,32 (sit-ups),Ratio
1117,question_1117,"Students at Memorial School voted for their favorite snack. For every 5 students that voted for candy, 2 students voted for popcorn. There were a total of 45 votes for candy. How many fewer students voted for popcorn than candy?",6,27 (students),Difference
1118,question_1118,Steven and Megan shared some marbles in the ratio 3:4. Megan received 24 marbles. How many marbles did Steven get?,6,18 (marbles),Ratio
1119,question_1119,"A fence post in Tina's garden is 4 feet tall. When she measured the fence post's shadow, she found that it was 12 feet long. A tree in Tina's yard had a shadow of 72 feet. How tall is the tree?",6,24 (feet),Ratio
1120,question_1120,The ratio of Kate's stickers to Jenna's stickers is 7:4. Kate has 21 stickers. How many stickers does Jenna have?,6,12 (stickers),Ratio
1121,question_1121,Chef Pillsbury's secret recipe requires 7 eggs for every 2 cups of flour. How many eggs will he need if he uses 8 cups of flour?,6,28 (eggs),Ratio
1122,question_1122,"Andrew and Jeffrey walk together. When the ratio of Andrew's steps to Jeffrey's steps was 3:4. If Andrew walks 150 steps, how many steps does Jeffrey walk?",6,200 (steps),Ratio
1123,question_1123,The ratio of the length of Joey's rope to Chad's rope is 8:3. Joey's rope is 56 cm long. How long is Chad's rope?,6,21 (cm),Ratio
1124,question_1124,Two numbers are in the ratio 3:8. Their sum is 44. What is the difference between the two numbers?,6,20,Difference
1125,question_1125,Ben and Matt received votes in the ratio 2:3. The total number of votes cast was 60. How many votes did Ben get?,6,24 (votes),Ratio
1126,question_1126,Terry cut a rope 35 inches long into two pieces in the ratio 3:4. What is the length of the longer piece?,6,20 (inches),Ratio
1127,question_1127,Lavender is making punch for the school dance. She mixes 3 parts lemonade with 5 parts cranberry juice. She wants to fill a 72 cup bowl. How many more cups of cranberry juice will she need than lemonade?,6,18 (cups of cranberry juice),Difference
1128,question_1128,Two numbers are in the ratio 5:7. The difference between the numbers is 12. What is the larger number?,6,42,Ratio
1129,question_1129,The ratio of the cost of a DVD player to the cost of a movie is 9:2. A DVD player costs $63 more than a movie. What is the cost of a DVD player?,6,81 (dollars),Ratio
1130,question_1130,Armand cuts a piece of wire into two smaller pieces that are in a ratio 7:5. The shorter piece is 40 cm. What was the length of the original piece of wire?,6,96 (cm),Ratio
1131,question_1131,Ted and David shared 24 stickers in the ratio 3:5. David used 8 of his stickers. What was the ratio of Ted's stickers to David's sticker's then?,6,9:7,Ratio
1132,question_1132,"Juan purchased 6 soccer jerseys for $105, how much would 12 soccer jerseys cost?",6,210 (dollars),Ratio
1133,question_1133,"In 3 seconds, Kevin can dribble a basketball 13 times. If Kevin dribbles at this same rate for 27 seconds, how many times will he dribble the basketball?",6,117 (times),Ratio
1134,question_1134,"Aarav cleans 6 apartments in 2.5 hours. If Aarav cleans 30 apartments at this same rate, how long will it take him?",6,12.5 (hours),Ratio
1135,question_1135,"Yoda Soda is the intergalactic party drink that will have all your friends saying, ""Mmmmmm, good this is!"" You are throwing a party, and you need 5 liters of Yoda Soda for every 12 guests. If you have 36 guests, how many liters of Yoda Soda do you need?",6,15 (liters of Yoda Soda),Ratio
1136,question_1136,A bakery made 19 muffins that contained nuts and 31 muffins that did not contain nuts. What is the ratio of the number of muffins with nuts to the number of muffins without nuts?,5,19:31,Ratio
1137,question_1137,39 students want pancakes and 3 students want waffles. What is the ratio of the number of students who want pancakes to the number of students who want waffles?,5,13:1,Ratio
1138,question_1138,"In a telephone poll, 7 people said they like shopping and 20 people said they do not like shopping. What is the ratio of the number of people who do not like shopping to the number of people who like shopping?",5,20:7,Ratio
1139,question_1139,22 students are going on a field trip and 18 students are staying at school. What is the ratio of the number of students who are going on the field trip to the number of students who are staying at school?,5,11:9,Ratio
1140,question_1140,A movie theater sold 9 child tickets. The other 41 tickets it sold were adult tickets. What is the ratio of the number of child tickets to the number of adult tickets?,5,9:41,Ratio
1141,question_1141,There are 43 empty seats and 7 occupied seats on an airplane. What is the ratio of the number of occupied seats to the total number of seats?,5,7:50,Ratio
1142,question_1142,The students in Elise's class got to choose whether to visit the zoo or the aquarium. 15 students went to the zoo and 22 students went to the aquarium. What is the ratio of the number of students who went to the aquarium to the number of students who went to the zoo?,5,22:15,Ratio
1143,question_1143,"Out of the 26 students in the gym, 4 are sitting on the bleachers and the rest are sitting on the floor. What is the ratio of the number of students sitting on the floor to the total number of students?",5,11:13,Ratio
1144,question_1144,Collin baked 9 brownies with nuts on top and 34 brownies without nuts. What is the ratio of the number of brownies with nuts on top to the total number of brownies?,5,9:43,Ratio
1145,question_1145,"Of the students in Denelle's grade, 42 students have a pet and the other 6 students do not. What is the ratio of the number of students who do not have a pet to the number of students who have a pet?",5,1:7,Ratio
1146,question_1146,17 students want lemonade and 11 students want iced tea. What is the ratio of the number of students who want iced tea to the number of students who want lemonade?,5,11:17,Ratio
1147,question_1147,Dalton's Ice Cream Shop sold 27 sundaes with nuts and 2 sundaes without nuts. What is the ratio of the number of sundaes with nuts to the number of sundaes without nuts?,5,27:2,Ratio
1148,question_1148,Jacob's Pizzeria made 3 thin-crust pizzas and 14 thick-crust pizzas. What is the ratio of the number of thin-crust pizzas to the number of thick-crust pizzas?,5,3:14,Ratio
1149,question_1149,Alexa's Pizzeria made 13 pizzas with pepperoni and 2 pizzas without pepperoni. What is the ratio of the number of pizzas without pepperoni to the number of pizzas with pepperoni?,5,2:13,Ratio
1150,question_1150,Cory made 4500 g of candy. He saved 1 kg to eat later. He divided the rest of the candy over 7 bowls to serve at his party. How many grams of candy did Cory serve in each bowl?,6,500 (grams of candy),Common-Division
1151,question_1151,Kevin started his science test at 2:34 p.m. and finished the test 75 minutes later. Kevin has football practice at 4:15 p.m. How much time did Kevin have between the end of the test and the beginning of football practice?,6,26 (minutes),Subtraction
1152,question_1152,"Coach Kelly brought 32 L of water to the football game, and she divided the water equally between 8 coolers. How many milliliters of water did Coach Kelly put in each cooler?",6,4000 (milliliters of water),Common-Division
1153,question_1153,Jemma filled one-fourth of a barrel with compost on Saturday. Then she filled the remaining space with 4200 g of compost on Sunday. How many kilograms of compost are in the barrel?,6,5.6 (kilograms of compost),Common-Division
1154,question_1154,The library is 14.2 km away from Daniel's apartment. The bus takes Daniel 11.15 km of the way to the library. He has to walk the remaining distance. How many meters does Daniel have to walk?,6,3050 (meters),Subtraction
1155,question_1155,Lisa went on a 52 km. She divided the distance traveled evenly over 4 days. How many meters did Lisa walk each day?,6,13000 (meters),Common-Division
1156,question_1156,A carpenter had a board that was 5.28 m long. She used her circular saw to cut 9 cm off the end of the board. How many centimeters long was the board after the carpenter cut it?,6,519 (centimeters),Subtraction
1157,question_1157,"Abigail's mom said she will be home from work in 65 minutes. It is 4:27 p.m., and Abigail has dance practice at 6:00 p.m. How much time will Abigail have between the time that her mom gets home from work and the beginning of dance practice?",6,28 (minutes),Subtraction
1158,question_1158,Noah made 12 kg of trail mix for his family's hiking trip. His family ate 8600 g of the trail mix on the hiking trip. How many grams of trail mix did Noah have left?,6,3400 (grams of trail mix),Subtraction
1159,question_1159,Hanson left for work at six o'clock in the morning. He got stuck in traffic and didn't arrive until twenty past seven in the morning. How many hours did it take Hanson to get to work?,4,1.33 (hours),Subtraction
1160,question_1160,"Felix and Clara are lawyers. Felix averages 20 civil cases and 10 criminal cases annually. Meanwhile, Clara averages 16 civil cases and 15 criminal ones. Which lawyer has a lower ratio of civil to criminal cases?",6,Clara,Comparison
1161,question_1161,"Ella and Mabel are photographers who specialize in portraits. Last year, Ella photographed 15 individuals and 10 families. Mabel photographed 17 individuals and 7 families. Who photographed a higher ratio of individuals to families?",6,Mabel,Comparison
1162,question_1162,"While researching colleges, Kendall learns that a typical class at Greenpoint Technical College has 5 men and 6 women, and a typical class at Adams County College has 15 men and 19 women. Which college has classes with a lower ratio of men to women?",6,Adams County College,Comparison
1163,question_1163,"When Jenna works out, she spends 18 minutes doing cardio and 20 minutes doing resistance training. Leon's workout consists of 17 minutes of cardio and 18 minutes of resistance training. Who does a higher ratio of cardio to resistance training?",6,Leon,Comparison
1164,question_1164,Anna's stew recipe calls for 3 kilograms of carrots and 6 kilograms of potatoes. Richard's stew recipe requires 4 kilograms of carrots and 5 kilograms of potatoes. Which recipe has a higher ratio of carrots to potatoes?,6,Richard's recipe,Comparison
1165,question_1165,"In Mr. Hoover's History class, 20 of the students received A's and 16 received B's. In his Social Studies class, 13 of the students got A's and 10 got B's. In which class did Mr. Hoover give out a lower ratio of A's to B's?",6,History,Comparison
1166,question_1166,"A restaurant critic reviewed restaurants in Richmond and Yardley. In Richmond, the critic gave 14 positive reviews and 20 negative reviews. In Yardley, 12 of the reviews were positive and 17 were negative. In which city did the restaurant critic give a higher ratio of positive to negative reviews?",6,Yardley,Comparison
1167,question_1167,"Among the third graders at Lanberry Elementary School, 12 play kickball during recess and 16 play four square. Among the fourth graders, 15 play kickball and 20 play four square. In which grade is there a higher ratio of kickball players to four-square players?",6,They are equal,Comparison
1168,question_1168,At Jake's stables there are 10 stallions and 15 mares. At Bridget's stables there are 17 stallions and 18 mares. Where is there a lower ratio of stallions to mares?,6,Jake's stables,Comparison
1169,question_1169,"Last month, Ivan spent 20 hours watching TV and 14 hours reading. The same month, Brenna spent 11 hours watching TV and 10 hours reading. Who had a higher ratio of time spent watching TV to time spent reading?",6,Ivan,Comparison
1170,question_1170,"Sweet Time Bakery just opened and is increasing the number of items they bake. For example, the bakery made 19 carrot cakes in October, 21 carrot cakes in November, 23 carrot cakes in December, and 25 carrot cakes in January. If this pattern continues, how many carrot cakes will the bakery make in February?",5,27 (carrot cakes),Sequential-Operation
1171,question_1171,"Jared is reviewing his cell phone bill. When he gets to the text message part, he notices that he sent 1 text message in November, 2 text messages in December, 4 text messages in January, and 8 text messages in February. If this pattern continues, how many text messages will Jared send in March?",5,16 (text messages),Sequential-Operation
1172,question_1172,"Malia is picking berries in the berry patch. She picks 3 berries from the first bush, 4 berries from the second bush, 7 berries from the third bush, and 12 berries from the fourth bush. If this pattern continues, how many berries will Malia pick from the fifth bush?",5,19 (berries),Sequential-Operation
1173,question_1173,"Vivian sent 5 pieces of mail in April, 10 pieces of mail in May, 20 pieces of mail in June, and 40 pieces of mail in July. If this pattern continues, how many pieces of mail will Vivian send in August?",5,80 (pieces of mail),Sequential-Operation
1174,question_1174,"Warren ran 1 lap on Wednesday, 2 laps on Thursday, 4 laps on Friday, 8 laps on Saturday, and 16 laps on Sunday. If this pattern continues, how many laps will Warren run on Monday?",5,32 (laps),Sequential-Operation
1175,question_1175,"Andrew found some empty bins to put cans into for recycling. He put 2 empty cans in the first bin, 4 empty cans in the second bin, 7 empty cans in the third bin, 11 empty cans in the fourth bin, and 16 empty cans in the fifth bin. If this pattern continues, how many empty cans will Andrew put in the sixth bin?",5,22 (empty cans),Sequential-Operation
1176,question_1176,"Tess is writing a poem. She writes 23 words on the first line, 26 words on the second line, 29 words on the third line, 32 words on the fourth line, and 35 words on the fifth line. If this pattern continues, how many words will Tess write on the sixth line?",5,38 (words),Sequential-Operation
1177,question_1177,"Carmen did 4 sit-ups on Sunday, 8 sit-ups on Monday, 16 sit-ups on Tuesday, 32 sit-ups on Wednesday, and 64 sit-ups on Thursday. If this pattern continues, how many sit-ups will Carmen do on Friday?",5,128 (sit-ups),Sequential-Operation
1178,question_1178,"Ava bagged the plastic bottles after a recycling drive. She placed 45 bottles in the first bag, 53 bottles in the second bag, 61 bottles in the third bag, and 69 bottles in the fourth bag. If this pattern continues, how many plastic bottles will Ava put in the fifth bag?",5,77 (plastic bottles),Sequential-Operation
1179,question_1179,"While organizing his DVD collection, Seth put 2 DVDs on the first rack, 4 DVDs on the second rack, 8 DVDs on the third rack, 16 DVDs on the fourth rack, and 32 DVDs on the fifth rack. If this pattern continues, how many DVDs will Seth put on the sixth rack?",5,64 (DVDs),Sequential-Operation
1180,question_1180,"The teacher is handing out note cards to her students. She gave 3 note cards to the first student, 12 note cards to the second student, 48 note cards to the third student, and 192 note cards to the fourth student. If this pattern continues, how many note cards will the teacher give to the fifth student?",5,768 (note cards),Sequential-Operation
1181,question_1181,"While organizing the magazines at the doctor's office, Blanca put 3 magazines in the first pile, 4 magazines in the second pile, 6 magazines in the third pile, and 9 magazines in the fourth pile. If this pattern continues, how many magazines will Blanca put in the fifth pile?",5,13 (magazines),Sequential-Operation
1182,question_1182,"While sorting some buttons, Malia put 1 button in the first box, 3 buttons in the second box, 9 buttons in the third box, 27 buttons in the fourth box, and 81 buttons in the fifth box. If this pattern continues, how many buttons will Malia put in the sixth box?",5,243 (buttons),Sequential-Operation
1183,question_1183,"Christine is dividing cherries among some bowls. She put 35 cherries in the first bowl, 40 cherries in the second bowl, 45 cherries in the third bowl, 50 cherries in the fourth bowl, and 55 cherries in the fifth bowl. If this pattern continues, how many cherries will Christine put in the sixth bowl?",5,60 (cherries),Sequential-Operation
1184,question_1184,"While sorting some beads, Jenna put 74 beads in the first jar, 83 beads in the second jar, 92 beads in the third jar, and 101 beads in the fourth jar. If this pattern continues, how many beads will Jenna put in the fifth jar?",5,110 (beads),Sequential-Operation
1185,question_1185,"While sorting some change into piggy banks, Diane put 72 coins in the first piggy bank, 81 coins in the second piggy bank, 90 coins in the third piggy bank, 99 coins in the fourth piggy bank, and 108 coins in the fifth piggy bank. If this pattern continues, how many coins will Diane put in the sixth piggy bank?",5,117 (coins),Sequential-Operation
1186,question_1186,"Alec has a garden and likes to put flowers from his garden into pretty vases. Alec put 5 flowers in the first vase, 7 flowers in the second vase, 10 flowers in the third vase, and 14 flowers in the fourth vase. If this pattern continues, how many flowers will Alec put in the fifth vase?",5,19 (flowers),Sequential-Operation
1187,question_1187,"At a party, the cheese pizza is cut into 6 slices and the veggie pizza is cut into 12 slices. If the host wants to serve identical platters that contain the same combination of cheese and veggie slices, with no slices left over, what is the greatest number of platters the host can prepare?",6,6 (platters),GCD
1188,question_1188,"Whitney has collected 4 T-shirts and 20 buttons from her favorite band. She wants to combine them into identical sets to sell, with no pieces left over. What is the greatest number of sets Whitney can make?",6,4 (sets),GCD
1189,question_1189,"Vondra is putting together bags of groceries to donate to charity. She has 7 boxes of macaroni and cheese and 14 cans of vegetables. Vondra wants to divide them up evenly, so that each bag has the same contents and no items are left over. What is the greatest number of bags of groceries Vondra can put together?",6,7 (bags of groceries),GCD
1190,question_1190,"Laverne has 20 baseballs and 15 basketballs. If she wants to divide them into identical groups without any balls left over, what is the greatest number of groups Laverne can make?",6,5 (groups),GCD
1191,question_1191,Lindsey has 16 cans of regular soda and 8 cans of diet soda. She wants to create some identical refreshment tables that will operate during the football game. She also doesn't want to have any sodas left over. What is the greatest number of refreshment tables that Lindsey can stock?,6,8 (refreshment tables),GCD
1192,question_1192,"Jaden is putting together first-aid kits. He has 39 large bandages and 26 small bandages, and he wants each kit to be identical, with no bandages left over. What is the greatest number of first-aid kits Jaden could put together?",6,13 (first-aid kits),GCD
1193,question_1193,"Shelley has 12 forks and 16 knives to place in silverware holders at the fast food restaurant where she works. She wants to distribute them equally, with no forks or knives left over. What is the greatest number of silverware holders Shelley can stock?",6,4 (silverware holders),GCD
1194,question_1194,"Tess is decorating papers with a total of 45 heart stickers and 27 star stickers for the child she is babysitting. If she wants to make all the papers identical, with the same combination of heart and star stickers and no stickers left over, what is the greatest number of pages Tess can decorate?",6,9 (pages),GCD
1195,question_1195,"Daniel has 44 commemorative plates and 33 commemorative spoons. He wants to display them in groups throughout his house, each with the same combination of plates and spoons, with none left over. What is the greatest number of groups Daniel can display?",6,11 (groups),GCD
1196,question_1196,"Mike is serving vegetables at a soup kitchen. He has 15 carrot sticks and 10 baby potatoes that he wants to divide evenly, with no food left over. What is the greatest number of plates Mike can prepare?",6,5 (plates),GCD
1197,question_1197,"At a concert, the band has 20 men's T-shirts and 8 women's T-shirts. The band wants to set up tables to sell the shirts, with an equal number of men's and women's shirts available at each table and no shirts left over. What is the greatest number of tables the band can sell shirts from?",6,4 (tables),GCD
1198,question_1198,"Amanda has two pieces of ribbon, one 8 inches long and the other 16 inches long. To decorate an album, she wants to cut them up to produce many pieces of ribbon that are all of the same length, with no ribbon left over. What is the greatest length, in inches, that she can make them?",6,8 (inches),GCD
1199,question_1199,"A florist has 12 tulips and 18 carnations. If the florist wants to create identical bouquets without any leftover flowers, what is the greatest number of bouquets the florist can make?",6,6 (bouquets),GCD
1200,question_1200,"A P.E. teacher needs to divide 14 male students and 7 female students into teams, each with the same combination of male students and female students and nobody left out. What is the greatest number of teams that can be formed?",6,7 (teams),GCD
1201,question_1201,"Carmen is creating lollipop bouquets using 4 cherry lollipops and 6 orange lollipops. She wants each bouquet to be identical, with no lollipops left over. What is the greatest number of lollipop bouquets Carmen can create?",6,2 (lollipop bouquets),GCD
1202,question_1202,"Allie has 5 math books and 10 science books. If she wants to distribute them evenly among some bookshelves so that each bookshelf has the same combination of math and science books, with no books left over, what is the greatest number of bookshelves Allie can use?",6,5 (bookshelves),GCD
1203,question_1203,"Kiera is making trail mix out of 16 bags of nuts and 6 bags of dried fruit. She wants each new portion of trail mix to be identical, containing the same combination of bags of nuts and bags of dried fruit, with no bags left over. What is the greatest number of portions of trail mix Kiera can make?",6,2 (portions of trail mix),GCD
1204,question_1204,Sara has 16 red flowers and 24 yellow flowers. She wants to make bouquets with the same number of each color flower in each bouquet. What is the greatest number of bouquets she can make?,6,8 (bouquets),GCD
1205,question_1205,"Lisa is making activity baskets to donate to charity. She has 12 coloring books, 28 markers, and 36 crayons. What is the greatest number of baskets she can make if each type of toy is equally distributed among the baskets?",6,4 (baskets),GCD
1206,question_1206,"Peter has 18 oranges, 27 pears and 12 bananas. He wants to make fruit baskets with the same number of each fruit in each basket. What is the greatest number of fruit baskets he can make?",6,3 (fruit baskets),GCD
1207,question_1207,"At Kentucky Fried Chicken, the kitchen staff baked 96 chicken legs, 144 thighs, and 224 wings. The staff had to prepare platters for a catered lunch at an office. Each platter will have the same number of legs, thighs, and wings. How many platters can the staff make if they want the greatest number of chicken pieces on each platter?",6,16 (platters),GCD
1208,question_1208,Jeremy has two pieces of wood: one is 90 inches and the other is 72 inches. He wants to cut both pieces of wood into smaller pieces so that all these pieces are the same length. How long does he cut the both pieces of wood?,6,18 (inches),GCD
1209,question_1209,"For a dinner party, Abraham is creating individual servings of starters. He has 9 carrot sticks and 18 celery sticks. If he wants each serving to be identical, with no food left over, what is the greatest number of servings Abraham can create?",6,9 (servings),GCD
1210,question_1210,"To encourage public transportation, Russom wants to give some friends envelopes with bus tickets and subway tickets in them. If he has 18 bus tickets and 12 subway tickets to split equally among the envelopes, and wants no tickets left over, what is the greatest number of envelopes Russom can make?",6,6 (envelopes),GCD
