,question_number,question,answer
1211,question1211,A 12-pack of soda costs $3. A 24-pack of soda costs $5. How much money can you save by buying a 24-pack of soda instead of 2 12-packs?,2
1212,question1212,Olivia has $23. She bought five bagels for $3 each. How much money does she have left?,8
1213,question1213,A pizzeria sells a 12-slice pizza for $10. 20 students each bought 2 slices. How much money did the pizzeria make?,4800
1214,question1214,A baker bakes 100 loaves of bread. He sells 20 loaves in the morning and 30 loaves in the afternoon. How many loaves of bread does he have left?,50
1215,question1215,A bakery has 120 muffins. 30 muffins are sold. 20 more muffins are sold. How many muffins are left?,70
1216,question1216,The price of a 2-liter bottle of soda is $2.50. A 12-ounce can of soda is 20% cheaper than a 2-liter bottle. How much is the 12-ounce can of soda?,2.0
1217,question1217,A gym has 200 towels. They wash 20 towels every hour. How many towels will they have after 10 hours?,0
1218,question1218,The soccer team is 2/3 of the way to their goal of selling 1000 raffle tickets. How many tickets have they sold?,666.6666666666666
1219,question1219,"The cafeteria at the hospital serves 150 people at breakfast, 250 people at lunch, and 100 people at dinner. How many meals do they serve in a week?",1100
1220,question1220,The 3-day event had 1000 attendees on the first day. The number of attendees increased by 500 each day. How many attendees were there at the end of the 3-day event?,2500
1221,question1221,3254233 is the number of 12-inch pizzas that were sold. 3/4 of the 12-inch pizzas were cut into 8 slices. How many slices were there?,19525398.0
1222,question1222,A 10-foot by 10-foot room has 80 square feet of floor space. A 12-foot by 12-foot room has _____ square feet of floor space.,144
1223,question1223,A bakery makes 300 loaves of bread a day.  It sells 120 loaves of bread in the morning and 150 loaves of bread in the afternoon.  How many loaves of bread are left at the end of the day?,30
1224,question1224,"A sack of onions weighs 50 pounds. A sack of carrots weighs 20 pounds. A sack of potatoes weighs 30 pounds. A sack of pumpkins weighs 40 pounds. How many pounds of vegetables does a farmer have if he has 10 sacks of onions, 15 sacks of carrots, 12 sacks of potatoes, and 10 sacks of pumpkins?",1560
1226,question1226,Olivia has $23. She bought five bagels for $3 each. How much money does she have left?,8
1227,question1227,A 12-pack of soda cans weighs 10 pounds. A 24-pack of soda cans weighs 20 pounds. How much does a 36-pack of soda cans weigh?,30
1228,question1228,"The soccer team has 24 players. 12 are forwards, 6 are midfielders, and the rest are defenders. How many players are defenders?",6
1229,question1229,36000 gallons of water are flowing into a reservoir. 1/4 of the water is being pumped out. How much water is left in the reservoir after 1 hour?,27000
1230,question1230,A bakery bakes 200 loaves of bread on Monday. They bake 50 more loaves of bread on Tuesday. How many loaves of bread do they have at the end of Tuesday?,250
1231,question1231,A pizza has 12 slices. 3 of the slices have pepperoni. 4 of the slices have mushrooms. 2 of the slices have both pepperoni and mushrooms. How many slices of pizza do not have mushrooms?,7
1232,question1232,A 1000-gallon reservoir is 80% full. A pipe at the bottom of the reservoir is leaking at a rate of 500 gallons per day. How many days will it take for the reservoir to be completely empty?,1.6
1233,question1233,A baker has 1200 grams of flour. He uses 200 grams of flour to bake a cake. He then uses 300 grams of flour to bake a pie. How much flour does he have left?,700
1234,question1234,A bakery has 200 loaves of bread. The bakery sells 100 loaves of bread. 20 loaves of bread are stale and are thrown away. How many loaves of bread are left?,80
1235,question1235,A 24-pack of soda costs $12. A 24-pack of beer costs $24. How much more does the beer cost than the soda?,12
1236,question1236,A sack of flour weighs 50 pounds. A bakery has 10 sacks of flour. How much does the flour weigh in total?,500
1237,question1237,A bakery sells 200 loaves of bread a day. The bakery is open 7 days a week. How many loaves of bread does the bakery sell in a week?,1400
1238,question1238,A 2-year-old child is 24 inches tall. A 5-year-old child is 40 inches tall. How many inches taller is the 5-year-old child than the 2-year-old child?,16
1239,question1239,A seller at the farmer's market sells 10 bags of beans an hour. He sells 20 bags of beans in the morning and 30 bags of beans in the afternoon. How many bags of beans does he sell in total?,50
1240,question1240,12000 people live in a small town. 40% of the people are men. How many women live in the town?,7200.0
1241,question1241,A catering company is baking pies for a party. They bake 12 pies in the morning and 12 pies in the afternoon. The pies are for 32 guests. How many pies does each guest get?,0.75
1242,question1242,The bakery sells 100 baguettes a day. 20% of the baguettes are sold in the morning. How many baguettes are sold in the morning?,20.0
1243,question1243,A 12-pack of soda costs $4. A 24-pack of soda costs $6. How much would you save by buying 24 cans of soda at a time instead of 12?,2
1244,question1244,A 1-liter bottle of soda has 4 cups of soda. A 2-liter bottle of soda has 8 cups of soda. How many more cups of soda are in the 2-liter bottle than in the 1-liter bottle?,4
1245,question1245,A bakery has 100 baguettes. They sell 20 baguettes in the morning and 30 baguettes in the afternoon. How many baguettes do they have left?,50
1246,question1246,A 10-foot by 10-foot room has 80 square feet of floor space. How many 12-inch by 12-inch tiles will it take to cover the floor?,0.555555555555555
1247,question1247,A bakery has 100 baguettes. They sell 30 baguettes in the morning and 20 in the afternoon. How many baguettes do they have left?,50
1248,question1248,A 20-pound sack of flour makes 24 loaves of bread. How many sacks of flour are needed to make 48 loaves of bread?,960
1249,question1249,A 10-pound sack of apples has 120 apples. How many apples does a 25-pound sack of apples have?,300.0
1250,question1250,A bakery has 100 baguettes. They sell 30 baguettes in the morning and 20 in the afternoon. How many baguettes do they have left?,50
1251,question1251,A 2-liter bottle of soda has 8 cups of soda. A 12-liter bottle of soda has 48 cups of soda. How many more cups of soda are in the 12-liter bottle than in the 2-liter bottle?,40
1252,question1252,A 12-ounce soda has 2.5 ounces of sugar. How much sugar is in a 20-ounce soda?,4.166666666666667
1253,question1253,A 20-ounce soda has 2.5 servings. How many ounces of soda are in 5 servings?,50.0
1254,question1254,A bakery has 100 baguettes. They sell 20 baguettes in the morning and 30 baguettes in the afternoon. How many baguettes do they have left?,50
1255,question1255,A 2-liter bottle of soda has 1000 calories.  A 12-ounce can of soda has 1/10 the number of calories as a 2-liter bottle of soda.  How many calories are in a 12-ounce can of soda?,100.0
1256,question1256,"A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A customer at the laundromat has 2 cakes of soap, 3 boxes of soap powder, and 1 bottle of detergent.  How much does the customer's laundry soap weigh?",76
1257,question1257,"A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A tote bag can hold 100 ounces of laundry supplies.  How many tote bags are needed to carry 12 cakes of soap, 8 boxes of soap powder, and 6 bottles of detergent?",2.96
1258,question1258,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1259,question1259,A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A box of bleach weighs 10 ounces.  A bottle of fabric softener weighs 12 ounces.  A 20-pound bag of laundry weighs 320 ounces.  How many ounces of laundry products can you buy with a 20-pound bag of laundry detergent?,258
1260,question1260,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1261,question1261,"A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A tote bag can hold 100 ounces of laundry supplies.  How many tote bags are needed to carry 12 cakes of soap, 8 boxes of soap powder, and 6 bottles of detergent?",2.96
1262,question1262,A 20-ounce soda has 2.5 ounces of sugar. How much sugar is in a 12-ounce soda?,1.5
1263,question1263,A 10-foot by 10-foot room has 80 square feet of floor space. A 12-foot by 12-foot room has ________ square feet of floor space.,144
1264,question1264,A 10-pound sack of flour makes 24 loaves of bread. How many sacks of flour are needed to make 144 loaves of bread?,60.0
1265,question1265,A 10-foot by 10-foot room has 80 square feet of floor space. How many 12-inch by 12-inch tiles will it take to cover the floor?,0.555555555555555
1266,question1266,A 12-pack of soda costs $4. A 24-pack of soda costs $6. How much money can you save by buying a 24-pack of soda instead of 2 12-packs?,2
1267,question1267,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1268,question1268,A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A bottle of bleach weighs 10 ounces.  A 20-pound sack of laundry will wash 20 loads of laundry.  How many ounces of laundry products will you need to wash 40 loads of laundry?,100.0
